Date (yyyy-mm-dd),Trial #,Fish ID,Holding tank,Temperature °C ,Treatment,Dart Tag location,Dart Tag Colour,Entry Order,Total Length (mm),Weight (g),Start Time (hh:mm:ss),Time at First Feeding (hh:mm:ss),Feeding_Event(Y/N),Feeding latency (mins),Feeding Delivery Number,Notes
2025-05-28,1,1,2,15,chase,FL,blue,1,229,128.5,07:59:00,20:00:52,Y,720,12,
2025-05-28,1,2,2,15,chase_air,BR,orange,2,267,181,08:01:26,07:01:41,Y,1380,23,Fish swam right alongside/through food as it was being deposited.
2025-05-28,1,3,2,15,control_B,FR,pink,3,310,339.5,08:02:30,09:00:31,Y,60,1,
2025-05-28,1,4,2,15,control_A,NA,none,4,257,158,08:03:49,09:00:13,Y,60,1,during entry feedercanister  knocked into water very briefly.
2025-05-30,2,5,2,15,chase,FL,blue ,1,234,122.5,08:56:49,18:00:48,Y,540,9,
2025-05-30,2,6,2,15,chase_air,BR,orange ,2,175,262,08:59:36,10:00:39,Y,60,1,
2025-05-30,2,7,2,15,control_B,FR,pink,3,557.5,363,09:00:41,10:00:40,Y,60,1,
2025-05-30,2,8,2,15,control_A,NA,none ,4,328.5,304,09:01:22,10:00:45,Y,60,1,
2025-05-31,3,9,1,15,chase,chase,blue ,3,319,510,10:06:46,11:00:40,Y,60,1,
2025-05-31,3,10,1,15,control_A,NA,none ,1,318,413,10:03:02,11:00:41,Y,60,1,
2025-05-31,3,11,1,15,control_B,FR,pink,4,350,527,10:09:32,11:00:48,Y,60,1,
2025-05-31,3,12,1,15,chase_air,BR,orange ,2,330,395,10:04:46,15:01:00,Y,300,5,
2025-06-06,4,13,2,15,chase_air,BR,orange ,4,281,216,12:07:14,19:00:17,Y,420,7,
2025-06-06,4,14,2,15,control_A,NA,none ,1,321,331.5,12:01:02,13:00:39,Y,60,1,
2025-06-06,4,15,2,15,chase,FL,blue ,2,258,206,12:03:17,04:01:12,Y,960,16,
2025-06-06,4,16,2,15,control_B,FR,pink,3,350,545,12:04:37,13:00:37,Y,60,1,
2025-06-09,5,17,2,15,chase_air,BR,orange ,1,276,214,10:56:41,1:01:09,Y,840,14,Fish hiding underneath feeder. Can't directly ID but through process of elimination (can see other 3 fish clearly) determined to be this fish. 
2025-06-09,5,18,2,15,chase,FL,blue ,2,361,479.5,10:59:44,15:00:33,Y,240,4,
2025-06-09,5,19,2,15,control_B,FR,pink,3,275,190.5,11:01:15,12:00:20,Y,60,1,
2025-06-09,5,20,2,15,control_A,NA,none ,4,295,252.5,11:02:34,18:00:12,Y,420,7,
2025-06-12,6,21,2,15,control_B,FR,pink,1,266,200,07:05:00,09:00:29,Y,120,2,saw all fish swim across screen and dive to eat. This was only one not fed yet. 
2025-06-12,6,22,2,15,control_A,NA,none ,2,406,793,07:06:00,09:00:12,Y,120,2,
2025-06-12,6,23,2,15,chase,FL,blue ,3,343,391,07:08:00,08:01:36,Y,60,1,
2025-06-12,6,24,2,15,chase_air,BR,orange ,4,300,287.5,07:15:00,08:01:45,Y,60,1,Tagged at start of trial. Tag fell off. Beat up nose and small fins
2025-06-13,7,25,1,15,control_B,FR,pink,1,NA,NA,09:59:16,11:00:19,Y,60,1,fish died. Grabbed by racoon. 
2025-06-13,7,26,1,15,control_A,NA,none ,2,229,153,10:00:14,11:00:34,Y,60,1,Racoon 
2025-06-13,7,27,1,15,chase_air,BR,orange ,3,358,591,10:02:05,11:00:22,Y,60,1,Racoon 
2025-06-13,7,28,1,15,chase,FL,blue ,4,235,128,10:04:09,11:00:33,Y,60,1,Racoon 
2025-06-14,8,29,2,15,chase_air,BR,orange ,1,295,319.5,11:03:00,14:00:00,Y,180,3,"manually fed at 1,2pm. "
2025-06-14,8,30,2,15,chase,FL,blue ,2,343,483,11:04:00,13:00:00,Y,120,2,
2025-06-14,8,31,2,15,control_B,FR,pink,3,359,452,11:05:00,12:00:00,Y,60,1,
2025-06-14,8,32,2,15,control_A,NA,none ,4,338,423,11:06:00,13:00:00,Y,120,2,
2025-06-15,9,33,1,15,control_B,FR,pink,1,327,417.5,17:58:00,19:02:59,Y,60,1,
2025-06-15,9,34,1,15,control_A,NA,none ,2,325,382,17:58:30,23:02:38,Y,300,5,
2025-06-15,9,35,1,15,chase,FL,blue ,3,286,257.5,17:59:00,04:02:38,Y,600,10,dead at end of trial
2025-06-15,9,36,1,15,chase,BR,orange ,4,325,367,18:00:00,03:02:37,Y,540,9,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
