Date (yyyy-mm-dd),Trial #,Fish ID,Holding tank,Temperature °C ,Treatment,Dart Tag location,Dart Tag Colour,Entry Order,Start Time (hh:mm:ss),Time at First Feeding (hh:mm:ss),Feeding_Event(Y/N),Feeding latency (mins),Feeding Delivery Number,Total Length (mm),Weight (g),Notes
2024-08-12,1,1,2,10,control_A,none,none,1,2024-08-12 13:05:04,2024-08-12 14:07:49,1,60,1,275,260,
2024-08-12,1,2,2,10,chase,FL,blue,2,2024-08-12 13:05:04,2024-08-12 15:04:27,1,120,2,331,414,
2024-08-12,1,3,2,10,chase_air,FR,pink,3,2024-08-12 13:05:04,2024-08-12 15:01:46,1,120,2,320,400,
2024-08-12,1,4,2,10,control_B,BR ,green,4,2024-08-12 13:05:04,2024-08-12 15:04:40,1,120,2,276,246,
2024-08-14,2,5,1,10,chase,FL,blue,3,2024-08-14 13:04:48,2024-08-14 22:05:09,1,540,9,199,172,
2024-08-14,2,6,1,10,chase_air,FR,pink,2,2024-08-14 13:05:00,2024-08-15 9:02:58,1,1200,20,287,256.5, 
2024-08-14,2,7,1,10,control_B,BR ,green,1,2024-08-14 13:02:47,2024-08-14 21:04:34,1,480,8,300,295,
2024-08-14,2,8,1,10,control_A,none,none,4,2024-08-14 13:06:49,2024-08-15 7:03:02,1,1080,18,333,493,
2024-08-15,3,9,1,10,chase,FL,blue,1,2024-08-15 15:02:32,2024-08-16 7:04:44,1,960,16,297,287,
2024-08-15,3,10,1,10,chase_air,FR,pink,2,2024-08-15 15:03:45,2024-08-15 02:04:07,1,660,11,321,400.5,
2024-08-15,3,11,1,10,control_A,none,none,3,2024-08-15 15:05:41,2024-08-15 20:01:07,1,300,5,305,341,
2024-08-15,3,12,1,10,control_B,BR ,green,4,2024-08-15 15:06:33,2024-08-16 06:04:54,1,900,15,305,296,
2024-08-16,4,13,2,10,chase_air,FR,pink,1,2024-08-16 16:00:06,2024-08-16 19:03:29,1,180,3,307,350,
2024-08-16,4,14,2,10,control_A,none,none,2,2024-08-16 16:01:42,2024-08-16 19:03:28,1,180,3,209,102,
2024-08-16,4,15,2,10,chase,FL,blue,3,2024-08-16 16:01:11,2024-08-17 06:06:32,1,840,14,303,326.5,
2024-08-16,4,16,2,10,control_B,BR ,green,4,2024-08-16 16:03:09,2024-08-16 23:04:30,1,420,7,341,445,
2024-08-19,5,17,1,10,chase_air,FR,pink,1,2024-08-19 12:05:14,NA,0,1440,NA,249,184,DNF (did not feed)
