Date (yyyy-mm-dd),Trial #,Fish ID,Holding tank,Temperature °C ,Treatment,Dart Tag location,Dart Tag Colour,Entry Order,Start Time (hh:mm:ss),Time at First Feeding (hh:mm:ss),Feeding_Event(Y/N),Feeding latency (mins),Feeding Delivery Number,Total Length (mm),Weight (g),Notes
2024-08-12,1,1,2,10,control_A,none,none,1,2024-08-12 13:05,2024-08-12 14:07,1,60,1,275,260,
2024-08-12,1,2,2,10,chase,FL,blue,2,2024-08-12 13:05,2024-08-12 15:04,1,120,2,331,414,
2024-08-12,1,3,2,10,chase_air,FR,pink,3,2024-08-12 13:05,2024-08-12 15:01,1,120,2,320,400,
2024-08-12,1,4,2,10,control_B,BR ,green,4,2024-08-12 13:05,2024-08-12 15:04,1,120,2,276,246,
2024-08-14,2,5,1,10,chase,FL,blue,3,2024-08-14 13:04,2024-08-14 22:05,1,540,9,199,172,
2024-08-14,2,6,1,10,chase_air,FR,pink,2,2024-08-14 13:05,2024-08-15 9:02,1,1200,20,287,256.5, 
2024-08-14,2,7,1,10,control_B,BR ,green,1,2024-08-14 13:02,2024-08-14 21:04,1,480,8,300,295,
2024-08-14,2,8,1,10,control_A,none,none,4,2024-08-14 13:06,2024-08-15 7:03,1,1080,18,333,493,
2024-08-15,3,9,1,10,chase,FL,blue,1,2024-08-15 15:02,2024-08-16 7:04,1,960,16,297,287,
2024-08-15,3,10,1,10,chase_air,FR,pink,2,2024-08-15 15:03,2024-08-15 2:04,1,660,11,321,400.5,
2024-08-15,3,11,1,10,control_A,none,none,3,2024-08-15 15:05,2024-08-15 20:01,1,300,5,305,341,
2024-08-15,3,12,1,10,control_B,BR ,green,4,2024-08-15 15:06,2024-08-16 6:04,1,900,15,305,296,
2024-08-16,4,13,2,10,chase_air,FR,pink,1,2024-08-16 16:00,2024-08-16 19:03,1,180,3,307,350,
2024-08-16,4,14,2,10,control_A,none,none,2,2024-08-16 16:01,2024-08-16 19:03,1,180,3,209,102,
2024-08-16,4,15,2,10,chase,FL,blue,3,2024-08-16 16:01,2024-08-17 6:06,1,840,14,303,326.5,
2024-08-16,4,16,2,10,control_B,BR ,green,4,2024-08-16 16:03,2024-08-16 23:04,1,420,7,341,445,
2024-08-19,5,17,1,10,chase_air,FR,pink,1,2024-08-19 12:05,NA,0,1440,NA,249,184,DNF (did not feed)
2024-08-19,5,18,1,10,control_B,BR ,green,2,2024-08-19 12:05,2024-08-19 13:13,1,60,1,295,305.5,
2024-08-19,5,19,1,10,chase,FL,blue,3,2024-08-19 12:06,NA,0,1440,NA,281,254.5,
2024-08-19,5,20,1,10,control_A,none,none,4,2024-08-19 12:08,2024-08-19 23:14,1,660,11,316,391.5,
2024-08-20,6,21,2,10,control_A,none,none,1,2024-08-20 16:55,2024-08-20 21:01,1,240,4,262,202,
2024-08-20,6,22,2,10,chase,FL,blue,2,2024-08-20 16:56,2024-08-21 21:01,1,240,4,321,392.5,
2024-08-20,6,23,2,10,chase_air,FR,pink,3,2024-08-20 16:58,2024-08-20 21:01,1,240,4,318,341,fish died (jumped out at 2am)
2024-08-20,6,24,2,10,control_B,BR ,green,4,2024-08-20 16:58,2024-08-20 21:01,1,240,4,313,328,
2024-08-22,7,25,1,10,chase_air,FR,pink,1,2024-08-22 15:22,2024-08-23 6:27,1,900,15,313,391.5,
2024-08-22,7,26,1,10,chase,FL,blue,2,2024-08-22 15:22,2024-08-23 6:27,1,900,15,311,343.5,
2024-08-22,7,27,1,10,control_B,BR ,green,3,2024-08-22 15:22,NA,0,1440,NA,294,269,DNF (did not feed)
2024-08-22,7,28,1,10,control_A,none,none,4,2024-08-22 15:22,2024-08-22 21:26,1,360,6,279,277.5,
2024-08-24,8,29,2,10,chase_air,FR,pink,1,2024-08-24 13:29,2024-08-24 23:31,1,600,10,330,347,
2024-08-24,8,30,2,10,control_B,BR ,green,2,2024-08-24 13:29,2024-08-24 23:31,1,600,10,266,209,
2024-08-24,8,31,2,10,control_A,none,none,3,2024-08-24 13:29,2024-08-25 2:32,1,840,14,251,192,
2024-08-24,8,32,2,10,chase,FL,blue,4,2024-08-24 13:29,2024-08-24 23:31,1,600,10,260,228.5,
2024-08-25,9,33,1,10,chase,FL,blue,1,2024-08-25 15:29,2024-08-25 19:33,1,240,4,299,345,
2024-08-25,9,34,1,10,chase_air,FR,pink,2,2024-08-25 15:29,2024-08-25 19:33,1,240,4,270,232,
2024-08-25,9,35,1,10,control_B,BR ,green,3,2024-08-25 15:29,NA,0,1440,NA,295,322.5,DNF (did not feed)
2024-08-25,9,36,1,10,control_A,none,none,4,2024-08-25 15:29,NA,0,1440,NA,210,116.5,DNF (did not feed)
2024-08-26,10,37,2,10,control_A,none,none,1,2024-08-26 17:35,NA,0,1440,NA,217,133,DNF (did not feed)
2024-08-26,10,38,2,10,control_B,BR ,green,2,2024-08-26 17:35,2024-08-27 11:33,1,1080,18,276,237.5,
2024-08-26,10,39,2,10,chase,FL,blue,3,2024-08-26 17:35,NA,0,1440,NA,269,236,DNF (did not feed)
2024-08-26,10,40,2,10,chase_air,none,none,4,2024-08-26 17:35,2024-08-26 21:31,1,240,4,324,473,floyd tag fell off fish 
2025-05-28,11,41,2,15,chase,FL,blue,1,2025-05-28 7:59,2025-05-28 20:00,1,720,12,229,128.5,
2025-05-28,11,42,2,15,chase_air,BR,orange,2,2025-05-28 8:01,2025-05-29 7:01,1,1380,23,267,181,Fish swam right alongside/through food as it was being deposited.
2025-05-28,11,43,2,15,control_B,FR,pink,3,2025-05-28 8:02,2025-05-28 9:00,1,60,1,310,339.5,
2025-05-28,11,44,2,15,control_A,NA,none,4,2025-05-28 8:02,2025-05-28 9:00,1,60,1,259,158,during entry feedercanister  knocked into water very briefly.
2025-05-30,12,45,2,15,chase,FL,blue ,1,2025-05-30 9:00,2025-05-30 18:00,1,540,9,234,122.5,
2025-05-30,12,46,2,15,chase_air,BR,orange ,2,2025-05-30 9:00,2025-05-30 10:00,1,60,1,262,175,
2025-05-30,12,47,2,15,control_B,FR,pink,3,2025-05-30 9:00,2025-05-30 10:00,1,60,1,363,557.5,
2025-05-30,12,48,2,15,control_A,NA,none ,4,2025-05-30 9:01,2025-05-30 10:00,1,60,1,304,328.5,
2025-05-31,13,49,1,15,chase,chase,blue ,3,2025-05-31 10:06,2025-05-31 11:00,1,60,1,319,510,
2025-05-31,13,50,1,15,control_A,NA,none ,1,2025-05-31 10:03,2025-05-31 11:00,1,60,1,318,413,
2025-05-31,13,51,1,15,control_B,FR,pink,4,2025-05-31 10:09,2025-05-31 11:00,1,60,1,350,527,
2025-05-31,13,52,1,15,chase_air,BR,orange ,2,2025-05-31 10:04,2025-05-31 15:01,1,300,5,330,395,
2025-06-06,14,53,2,15,chase_air,BR,orange ,4,2025-06-06 12:07,2025-06-06 19:00,1,420,7,281,216,
2025-06-06,14,54,2,15,control_A,NA,none ,1,2025-06-06 12:01,2025-06-06 13:00,1,60,1,321,331.5,
2025-06-06,14,55,2,15,chase,FL,blue ,2,2025-06-06 12:03,2025-06-07 4:01,1,960,16,258,206,
2025-06-06,14,56,2,15,control_B,FR,pink,3,2025-06-06 12:04,2025-06-06 13:00,1,60,1,350,545,
2025-06-09,15,57,2,15,chase_air,BR,orange ,1,2025-06-09 10:56,2025-06-10 1:01,1,840,14,276,214,Fish hiding underneath feeder. Can't directly ID but through process of elimination (can see other 3 fish clearly) determined to be this fish. 
2025-06-09,15,58,2,15,chase,FL,blue ,2,2025-06-09 10:59,2025-06-09 15:00,1,240,4,361,479.5,
2025-06-09,15,59,2,15,control_B,FR,pink,3,2025-06-09 11:01,2025-06-09 12:00,1,60,1,275,190.5,
2025-06-09,15,60,2,15,control_A,NA,none ,4,2025-06-09 11:02,2025-06-09 18:00,1,420,7,295,252.5,
2025-06-12,16,61,2,15,control_B,FR,pink,1,2025-06-12 7:05,2025-06-12 9:00,1,120,2,266,200,saw all fish swim across screen and dive to eat. This was only one not fed yet. 
2025-06-12,16,62,2,15,control_A,NA,none ,2,2025-06-12 7:06,2025-06-12 9:00,1,120,2,406,793,
2025-06-12,16,63,2,15,chase,FL,blue ,3,2025-06-12 7:08,2025-06-12 8:01,1,60,1,343,391,
2025-06-12,16,64,2,15,chase_air,BR,orange ,4,2025-06-12 7:15,2025-06-12 8:01,1,60,1,300,287.5,
2025-06-13,17,65,1,15,control_B,FR,pink,1,2025-06-13 9:59,2025-06-13 11:00,1,60,1,NA,NA,fish died. Grabbed by racoon. 
2025-06-13,17,66,1,15,control_A,NA,none ,2,2025-06-13 10:00,2025-06-13 11:00,1,60,1,229,153,Racoon 
2025-06-13,17,67,1,15,chase_air,BR,orange ,3,2025-06-13 10:02,2025-06-13 11:00,1,60,1,358,591,Racoon 
2025-06-13,17,68,1,15,chase,FL,blue ,4,2025-06-13 10:04,2025-06-13 11:00,1,60,1,235,128,Racoon 
2025-06-14,18,69,2,15,chase_air,BR,orange ,1,2025-06-14 11:03,2025-06-14 14:00,1,180,3,295,319.5,"manually fed at 1,2pm. "
