Date & time of file creation	2024-08-26 5:21 PM																										
Data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\Respirometry Data Summer 2024\Good Trials\Trial 12 - Aug 26 2024\2024-08-26-BrookTroutEPOC_10c_trial12.txt																										
Raw data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\Respirometry Data Summer 2024\Good Trials\Trial 12 - Aug 26 2024\2024-08-26-BrookTroutEPOC_10c_trial12_raw.txt																										
																											
																											
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																						
Chamber 1	100	900	10																								
Chamber 2	100	900																									
Chamber 3	100	900																									
																											
																											
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [mgO2/L/hr]	CH 1 R^2	CH 1 max O2 [mgO2/L]	CH 1 min O2 [mgO2/L]	CH 1 avg O2 [mgO2/L]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [mgO2/L/hr]	CH 2 R^2	CH 2 max O2 [mgO2/L]	CH 2 min O2 [mgO2/L]	CH 2 avg O2 [mgO2/L]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [mgO2/L/hr]	CH 3 R^2	CH 3 max O2 [mgO2/L]	CH 3 min O2 [mgO2/L]	CH 3 avg O2 [mgO2/L]	CH 3 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
2024-08-26/5:53:57 PM	1916	1	F300/W1/M600	126.4	-14.041	0.999	11.32	9.01	10.15	9.98	-1.3	0.140	0.364	11.43	11.35	11.39	9.98	-0.6	0.062	0.106	11.43	11.37	11.40	9.98	9.94	20.00	0.10
2024-08-26/6:08:58 PM	2817	2	F300/W1/M600	91.0	-10.106	0.999	11.16	9.51	10.35	9.66	107.3	-11.917	0.985	11.38	9.57	10.63	9.66	-4.6	0.511	0.904	11.45	11.35	11.41	9.66	9.71	20.00	0.10
2024-08-26/6:23:59 PM	3718	3	F300/W1/M600	84.8	-9.426	0.999	11.24	9.72	10.49	9.60	95.3	-10.589	0.998	11.13	9.48	10.36	9.60	164.3	-18.252	0.937	11.43	8.70	10.46	9.60	9.57	20.00	0.10
2024-08-26/6:39:00 PM	4618	4	F300/W1/M600	80.2	-8.912	0.998	11.11	9.70	10.44	9.74	90.2	-10.027	0.996	11.12	9.57	10.40	9.74	181.8	-20.199	0.996	10.91	7.82	9.42	9.74	9.72	20.00	0.10
2024-08-26/6:54:01 PM	5519	5	F300/W1/M600	86.3	-9.586	0.997	11.09	9.56	10.33	9.86	77.7	-8.638	0.996	11.07	9.73	10.46	9.86	145.7	-16.188	0.994	10.99	8.38	9.85	9.86	9.85	20.00	0.10
2024-08-26/7:09:02 PM	6420	6	F300/W1/M600	85.1	-9.457	0.997	11.08	9.59	10.38	9.99	75.0	-8.339	0.991	11.07	9.78	10.50	9.99	130.0	-14.446	0.999	10.99	8.68	9.89	9.99	9.97	20.00	0.10
2024-08-26/7:24:03 PM	7321	7	F300/W1/M600	70.5	-7.835	0.998	11.08	9.80	10.48	10.10	59.5	-6.610	0.997	11.08	10.03	10.59	10.10	129.9	-14.436	0.995	10.98	8.77	9.96	10.10	10.08	20.00	0.10
2024-08-26/7:39:04 PM	8223	8	F300/W1/M600	112.3	-12.481	0.992	11.05	9.08	10.19	10.01	53.9	-5.994	0.978	11.07	10.09	10.69	10.01	102.6	-11.399	0.991	11.02	9.28	10.16	10.01	10.06	20.00	0.10
2024-08-26/7:54:05 PM	9123	9	F300/W1/M600	106.9	-11.874	0.998	11.09	9.11	10.15	9.66	84.6	-9.400	0.989	11.06	9.57	10.42	9.66	141.4	-15.716	0.984	11.11	8.58	10.09	9.66	9.72	20.00	0.10
2024-08-26/8:09:06 PM	10025	10	F300/W1/M600	88.4	-9.822	0.993	11.14	9.53	10.43	9.72	77.9	-8.653	0.993	11.12	9.76	10.52	9.72	184.1	-20.454	0.997	10.93	7.72	9.33	9.72	9.69	20.00	0.10
