Date &Time [DD-MM-YYYY/HH:MM:SS],Phase,Barometric pressure [hPa],Salinity [â],CH1 O2 input [phase],CH1 temp (∞C),CH1 O2 [mgO2/L],CH2 O2 input [phase],CH2 temp (∞C),CH2 O2 [mgO2/L],CH3 O2 input [phase],CH3 temp (∞C),CH3 O2 [mgO2/L],CH4 O2 input [phase],CH4 temp (∞C),CH4 O2 [mgO2/L],CH5 O2 input [V],CH5 temp (∞C),CH5 O2 [mgO2/L],CH6 O2 input [V],CH6 temp (∞C),CH6 O2 [mgO2/L],CH7 O2 input [V],CH7 temp (∞C),CH7 O2 [mgO2/L],CH8 O2 input [V],CH8 temp (∞C),CH8 O2 [mgO2/L],CH1 Velocity input [V],CH1 Velocity [cm/s],CH5 Velocity input [V],CH5 Velocity [cm/s],AMB temp N∞1 input [V],AMB temp N∞1 [∞C],AMB temp N∞1 relay,AMB temp N∞2 input [V],AMB temp N∞2 [∞C],AMB temp N∞2 relay,AMB O2 N∞1 input (V),AMB O2 N∞1 temp (∞C),AMB O2 N∞1 [mgO2/L],AMB O2 N∞1 relay,AMB O2 N∞2 input (V),AMB O2 N∞2 temp (∞C),AMB O2 N∞2 [mgO2/L],AMB O2 N∞2 relay,User event
2024-08-11/12:36:26 PM,Flush,1013,0,29.6243,9.59,11.5,29.9329,9.59,11.56,30.3557,9.59,11.68,30.38,9.59,11.85,NaN,9.58,NaN,NaN,9.58,NaN,NaN,9.58,NaN,NaN,9.58,NaN,NaN,NaN,NaN,NaN,9.59,9.59,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-11/12:36:27 PM,Flush,1013,0,29.65,9.59,11.48,29.9462,9.59,11.55,30.33,9.59,11.71,30.3812,9.59,11.85,NaN,9.59,NaN,NaN,9.59,NaN,NaN,9.59,NaN,NaN,9.59,NaN,NaN,NaN,NaN,NaN,9.59,9.59,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-11/12:36:28 PM,Flush,1013,0,29.6475,9.59,11.48,29.9238,9.59,11.57,30.3312,9.59,11.71,30.39,9.59,11.84,NaN,9.59,NaN,NaN,9.59,NaN,NaN,9.59,NaN,NaN,9.59,NaN,NaN,NaN,NaN,NaN,9.5887,9.59,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-11/12:36:29 PM,M1   ,1013,0,29.6325,9.58,11.5,29.9488,9.58,11.55,30.3425,9.58,11.7,30.3888,9.58,11.85,NaN,9.59,NaN,NaN,9.59,NaN,NaN,9.59,NaN,NaN,9.59,NaN,NaN,NaN,NaN,NaN,9.58,9.58,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-11/12:36:30 PM,M1   ,1013,0,29.6487,9.58,11.48,29.94,9.58,11.56,30.3588,9.58,11.68,30.3825,9.58,11.85,NaN,9.58,NaN,NaN,9.58,NaN,NaN,9.58,NaN,NaN,9.58,NaN,NaN,NaN,NaN,NaN,9.5813,9.58,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-11/12:36:31 PM,M1   ,1013,0,29.6363,9.59,11.49,29.9413,9.59,11.56,30.3513,9.59,11.68,30.4,9.59,11.83,NaN,9.58,NaN,NaN,9.58,NaN,NaN,9.58,NaN,NaN,9.58,NaN,NaN,NaN,NaN,NaN,9.59,9.59,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-11/12:36:32 PM,M1   ,1013,0,29.6125,9.59,11.52,29.9512,9.59,11.55,30.3588,9.59,11.68,30.4,9.59,11.83,NaN,9.59,NaN,NaN,9.59,NaN,NaN,9.59,NaN,NaN,9.59,NaN,NaN,NaN,NaN,NaN,9.59,9.59,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-11/12:36:33 PM,M1   ,1013,0,29.6325,9.59,11.49,29.9588,9.59,11.54,30.3475,9.59,11.69,30.3975,9.59,11.83,NaN,9.59,NaN,NaN,9.59,NaN,NaN,9.59,NaN,NaN,9.59,NaN,NaN,NaN,NaN,NaN,9.5913,9.59,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-11/12:36:34 PM,M1   ,1013,0,29.645,9.6,11.48,29.95,9.6,11.54,30.3312,9.6,11.7,30.3775,9.6,11.85,NaN,9.59,NaN,NaN,9.59,NaN,NaN,9.59,NaN,NaN,9.59,NaN,NaN,NaN,NaN,NaN,9.6,9.6,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-11/12:36:35 PM,M1   ,1013,0,29.6125,9.6,11.51,29.9512,9.6,11.54,30.3412,9.6,11.69,30.3625,9.6,11.86,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,NaN,NaN,NaN,9.6,9.6,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-11/12:36:36 PM,M1   ,1013,0,29.6312,9.6,11.49,29.955,9.6,11.54,30.3475,9.6,11.68,30.3812,9.6,11.84,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,NaN,NaN,NaN,9.6013,9.6,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-11/12:36:37 PM,M1   ,1013,0,29.6412,9.61,11.48,29.9225,9.61,11.56,30.3337,9.61,11.69,30.39,9.61,11.83,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,NaN,NaN,NaN,9.61,9.61,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-11/12:36:38 PM,M1   ,1013,0,29.65,9.61,11.47,29.9388,9.61,11.55,30.355,9.61,11.67,30.3875,9.61,11.83,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,NaN,NaN,NaN,9.61,9.61,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-11/12:36:39 PM,M1   ,1013,0,29.6475,9.61,11.47,29.9325,9.61,11.55,30.3238,9.61,11.7,30.3712,9.61,11.85,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,NaN,NaN,NaN,9.61,9.61,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-11/12:36:40 PM,M1   ,1013,0,29.6337,9.61,11.48,29.95,9.61,11.54,30.35,9.61,11.68,30.3788,9.61,11.84,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,NaN,NaN,NaN,9.6087,9.61,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-11/12:36:41 PM,M1   ,1013,0,29.6562,9.6,11.47,29.9525,9.6,11.54,30.3475,9.6,11.68,30.3725,9.6,11.85,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,NaN,NaN,NaN,9.6,9.6,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
