Date & time of file creation	2024-08-17 2:18 PM																																	
Data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\Respirometry Data Summer 2024\Good Trials\Trial 7 Aug 17 2024\2024-08-17 BrookTrout_EPOC_10c_Trial7.txt																																	
Raw data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\Respirometry Data Summer 2024\Good Trials\Trial 7 Aug 17 2024\2024-08-17 BrookTrout_EPOC_10c_Trial7_raw.txt																																	
																																		
																																		
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																													
Chamber 1	100	900	10																															
Chamber 2	100	900																																
Chamber 3	100	900																																
Chamber 4	100	900																																
																																		
																																		
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [mgO2/L/hr]	CH 1 R^2	CH 1 max O2 [mgO2/L]	CH 1 min O2 [mgO2/L]	CH 1 avg O2 [mgO2/L]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [mgO2/L/hr]	CH 2 R^2	CH 2 max O2 [mgO2/L]	CH 2 min O2 [mgO2/L]	CH 2 avg O2 [mgO2/L]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [mgO2/L/hr]	CH 3 R^2	CH 3 max O2 [mgO2/L]	CH 3 min O2 [mgO2/L]	CH 3 avg O2 [mgO2/L]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [mgO2/L/hr]	CH 4 R^2	CH 4 max O2 [mgO2/L]	CH 4 min O2 [mgO2/L]	CH 4 avg O2 [mgO2/L]	CH 4 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
2024-08-17/2:29:00 PM	615	1	F400/W1/M600	4.5	-0.503	0.325	11.50	11.25	11.44	9.55	2.4	-0.263	0.495	11.51	11.42	11.47	9.55	-0.0	0.002	0.000	11.56	11.46	11.51	9.55	5.3	-0.593	0.780	11.57	11.44	11.51	9.55	9.55	20.00	0.10
2024-08-17/2:39:03 PM	1218	2	F300/W1/M600	100.6	-11.182	1.000	11.25	9.42	10.33	9.41	2.1	-0.230	0.507	11.48	11.39	11.44	9.41	0.8	-0.093	0.114	11.56	11.47	11.51	9.41	1.5	-0.169	0.390	11.49	11.41	11.45	9.41	9.41	20.00	0.10
2024-08-17/2:54:04 PM	2119	3	F300/W1/M600	60.3	-6.698	0.983	11.19	10.15	10.75	9.50	31.7	-3.526	0.896	11.38	10.80	11.17	9.50	-5.3	0.589	0.866	11.51	11.39	11.45	9.50	-5.1	0.561	0.894	11.47	11.34	11.41	9.50	9.47	20.00	0.10
2024-08-17/3:09:05 PM	3020	4	F300/W1/M600	59.2	-6.574	0.985	11.28	10.27	10.85	9.69	31.4	-3.489	0.992	11.33	10.76	11.07	9.69	167.2	-18.576	0.977	11.49	8.66	10.36	9.69	-1.4	0.157	0.392	11.47	11.40	11.44	9.69	9.66	20.00	0.10
2024-08-17/3:24:06 PM	3921	5	F300/W1/M600	60.3	-6.700	0.989	11.22	10.18	10.77	9.87	30.9	-3.428	0.995	11.29	10.73	11.02	9.87	157.4	-17.485	0.991	10.86	8.20	9.69	9.87	89.2	-9.913	0.885	11.37	9.81	10.88	9.87	9.84	20.00	0.10
2024-08-17/3:39:07 PM	4822	6	F300/W1/M600	56.3	-6.250	0.988	11.11	10.15	10.69	10.01	30.4	-3.382	0.992	11.16	10.63	10.91	10.01	139.0	-15.442	0.986	10.81	8.45	9.81	10.01	121.3	-13.472	0.997	10.90	8.83	9.92	10.01	9.99	20.00	0.10
2024-08-17/3:54:08 PM	5723	7	F300/W1/M600	60.4	-6.714	0.995	11.04	10.01	10.55	9.79	21.8	-2.427	0.985	11.14	10.75	10.97	9.79	130.7	-14.528	0.983	10.74	8.51	9.81	9.79	91.1	-10.117	0.995	10.89	9.32	10.18	9.79	9.85	20.00	0.10
2024-08-17/4:09:09 PM	6624	8	F300/W1/M600	47.8	-5.312	0.989	11.13	10.30	10.76	9.68	28.9	-3.215	0.996	11.18	10.66	10.94	9.68	125.5	-13.941	0.985	10.80	8.66	9.89	9.68	96.2	-10.691	0.998	10.95	9.27	10.14	9.68	9.67	20.00	0.10
2024-08-17/4:24:10 PM	7525	9	F300/W1/M600	40.6	-4.513	0.986	11.13	10.42	10.83	9.83	32.2	-3.578	0.991	11.17	10.61	10.91	9.83	111.1	-12.343	0.983	10.84	8.96	10.05	9.83	81.1	-9.014	0.996	11.00	9.59	10.35	9.83	9.81	20.00	0.10
2024-08-17/4:39:11 PM	8426	10	F300/W1/M600	39.3	-4.372	0.983	11.10	10.43	10.81	9.98	27.3	-3.030	0.993	11.14	10.66	10.92	9.98	100.8	-11.196	0.982	10.89	9.17	10.17	9.98	70.9	-7.876	0.996	11.01	9.79	10.45	9.98	9.96	20.00	0.10
2024-08-17/4:54:12 PM	9327	11	F300/W1/M600	36.4	-4.040	0.975	11.15	10.52	10.89	9.81	18.8	-2.087	0.985	11.18	10.84	11.03	9.81	86.0	-9.552	0.977	10.94	9.47	10.34	9.81	53.6	-5.955	0.993	11.02	10.11	10.61	9.81	9.87	20.00	0.10
2024-08-17/5:09:13 PM	10228	12	F300/W1/M600	32.3	-3.589	0.975	11.21	10.62	10.97	9.53	18.7	-2.073	0.962	11.24	10.89	11.11	9.53	78.7	-8.741	0.974	11.03	9.67	10.48	9.53	48.6	-5.399	0.989	11.11	10.24	10.74	9.53	9.58	20.00	0.10
2024-08-17/5:24:14 PM	11129	13	F300/W1/M600	32.5	-3.607	0.979	11.26	10.69	11.01	9.66	21.6	-2.399	0.990	11.28	10.89	11.10	9.66	80.1	-8.903	0.980	11.09	9.72	10.53	9.66	50.1	-5.568	0.995	11.21	10.34	10.81	9.66	9.63	20.00	0.10
2024-08-17/5:39:15 PM	12030	14	F300/W1/M600	32.3	-3.587	0.982	11.25	10.68	11.01	9.82	21.5	-2.392	0.992	11.28	10.90	11.11	9.82	78.4	-8.716	0.982	11.10	9.75	10.54	9.82	48.6	-5.396	0.996	11.21	10.36	10.82	9.82	9.80	20.00	0.10
2024-08-17/5:54:16 PM	12931	15	F300/W1/M600	31.8	-3.530	0.985	11.21	10.67	10.97	9.98	19.2	-2.133	0.989	11.22	10.90	11.06	9.98	76.7	-8.517	0.982	11.04	9.75	10.49	9.98	47.0	-5.225	0.989	11.16	10.37	10.81	9.98	9.96	20.00	0.10
