Date & time of file creation	2024-08-19 10:43 AM																																	
Data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\Respirometry Data Summer 2024\Good Trials\Trial 8 - Aug 19 2024\2024-08-19-BrookTroutEPOC_10c_Trial8.txt																																	
Raw data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\Respirometry Data Summer 2024\Good Trials\Trial 8 - Aug 19 2024\2024-08-19-BrookTroutEPOC_10c_Trial8_raw.txt																																	
																																		
																																		
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																													
Chamber 1	100	900	10																															
Chamber 2	100	900																																
Chamber 3	100	900																																
Chamber 4	100	900																																
																																		
																																		
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [mgO2/L/hr]	CH 1 R^2	CH 1 max O2 [mgO2/L]	CH 1 min O2 [mgO2/L]	CH 1 avg O2 [mgO2/L]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [mgO2/L/hr]	CH 2 R^2	CH 2 max O2 [mgO2/L]	CH 2 min O2 [mgO2/L]	CH 2 avg O2 [mgO2/L]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [mgO2/L/hr]	CH 3 R^2	CH 3 max O2 [mgO2/L]	CH 3 min O2 [mgO2/L]	CH 3 avg O2 [mgO2/L]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [mgO2/L/hr]	CH 4 R^2	CH 4 max O2 [mgO2/L]	CH 4 min O2 [mgO2/L]	CH 4 avg O2 [mgO2/L]	CH 4 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
2024-08-19/11:08:53 AM	1466	1	F300/W1/M600	120.7	-13.406	0.994	11.19	9.10	10.25	9.74	1.9	-0.207	0.553	11.25	11.17	11.22	9.74	0.7	-0.076	0.114	11.30	11.24	11.27	9.74	2.4	-0.264	0.698	11.38	11.30	11.34	9.74	9.79	20.00	0.10
2024-08-19/11:23:54 AM	2367	2	F300/W1/M600	98.3	-10.926	0.981	10.81	9.14	10.13	9.90	168.2	-18.694	0.995	10.99	8.10	9.67	9.90	1.4	-0.160	0.321	11.19	11.10	11.15	9.90	1.8	-0.204	0.522	11.26	11.17	11.21	9.90	9.88	20.00	0.10
2024-08-19/11:38:55 AM	3269	3	F300/W1/M600	88.5	-9.832	0.978	10.67	9.15	10.04	10.03	137.2	-15.240	0.971	10.29	8.00	9.36	10.03	7.6	-0.847	0.920	11.06	10.88	10.96	10.03	4.8	-0.530	0.832	11.09	10.96	11.03	10.03	10.01	20.00	0.10
2024-08-19/11:53:56 AM	4169	4	F300/W1/M600	81.7	-9.076	0.979	10.42	9.00	9.85	10.16	103.2	-11.467	0.976	10.20	8.44	9.49	10.16	158.0	-17.556	0.981	10.79	8.02	9.63	10.16	3.2	-0.358	0.743	10.86	10.73	10.79	10.16	10.14	20.00	0.10
2024-08-19/12:08:57 PM	5071	5	F300/W1/M600	83.1	-9.237	0.982	10.28	8.86	9.69	10.31	116.6	-12.955	0.971	10.12	8.14	9.33	10.31	129.9	-14.438	0.971	9.87	7.64	8.98	10.31	107.0	-11.888	0.946	10.71	8.89	10.05	10.31	10.28	20.00	0.10
2024-08-19/12:23:58 PM	5971	6	F300/W1/M600	74.6	-8.292	0.969	10.31	9.02	9.80	10.14	113.1	-12.568	0.962	10.09	8.15	9.34	10.14	83.4	-9.270	0.917	9.86	8.37	9.32	10.14	84.9	-9.428	0.982	10.24	8.80	9.64	10.14	10.21	20.00	0.10
2024-08-19/12:38:59 PM	6873	7	F300/W1/M600	74.1	-8.231	0.966	10.37	9.07	9.87	9.83	121.2	-13.462	0.964	10.27	8.20	9.46	9.83	80.5	-8.948	0.931	10.02	8.58	9.48	9.83	72.3	-8.029	0.954	10.31	9.01	9.83	9.83	9.88	20.00	0.10
2024-08-19/12:54:00 PM	7773	8	F300/W1/M600	77.4	-8.598	0.974	10.40	9.08	9.87	9.76	79.3	-8.814	0.944	10.32	8.97	9.79	9.76	87.8	-9.754	0.927	10.01	8.44	9.44	9.76	80.7	-8.968	0.987	10.35	8.94	9.76	9.76	9.74	20.00	0.10
2024-08-19/1:09:01 PM	8674	9	F300/W1/M600	80.0	-8.890	0.972	10.47	9.08	9.92	9.87	50.0	-5.556	0.957	10.47	9.58	10.11	9.87	81.8	-9.090	0.915	10.12	8.66	9.59	9.87	58.2	-6.466	0.969	10.48	9.46	10.07	9.87	9.86	20.00	0.10
2024-08-19/1:24:02 PM	9576	10	F300/W1/M600	83.5	-9.274	0.973	10.52	9.07	9.94	9.96	57.2	-6.355	0.946	10.53	9.49	10.14	9.96	73.9	-8.213	0.916	10.20	8.86	9.72	9.96	50.2	-5.578	0.968	10.56	9.69	10.21	9.96	9.95	20.00	0.10
2024-08-19/1:39:03 PM	10477	11	F300/W1/M600	82.6	-9.175	0.975	10.55	9.14	9.98	10.05	79.4	-8.822	0.947	10.55	9.18	10.04	10.05	64.8	-7.197	0.914	10.29	9.13	9.87	10.05	44.2	-4.909	0.968	10.61	9.85	10.31	10.05	10.04	20.00	0.10
2024-08-19/1:54:04 PM	11378	12	F300/W1/M600	84.9	-9.438	0.978	10.59	9.13	9.99	10.13	53.5	-5.939	0.942	10.54	9.59	10.17	10.13	63.0	-6.996	0.929	10.36	9.24	9.94	10.13	40.2	-4.467	0.971	10.65	9.94	10.36	10.13	10.12	20.00	0.10
2024-08-19/2:09:05 PM	12278	13	F300/W1/M600	78.9	-8.770	0.978	10.60	9.27	10.05	10.22	39.5	-4.389	0.947	10.59	9.86	10.31	10.22	48.4	-5.377	0.896	10.42	9.52	10.10	10.22	36.8	-4.094	0.968	10.67	10.01	10.41	10.22	10.21	20.00	0.10
2024-08-19/2:24:06 PM	13180	14	F300/W1/M600	77.8	-8.639	0.981	10.63	9.29	10.08	10.30	36.6	-4.061	0.953	10.61	9.94	10.36	10.30	47.4	-5.267	0.915	10.50	9.62	10.18	10.30	34.9	-3.875	0.968	10.70	10.08	10.45	10.30	10.29	20.00	0.10
2024-08-19/2:39:07 PM	14081	15	F300/W1/M600	64.8	-7.199	0.978	10.64	9.54	10.19	10.28	29.6	-3.287	0.959	10.66	10.12	10.44	10.28	41.1	-4.563	0.910	10.52	9.76	10.24	10.28	26.7	-2.972	0.962	10.71	10.23	10.52	10.28	10.30	20.00	0.10
2024-08-19/2:54:08 PM	14982	16	F300/W1/M600	62.5	-6.942	0.981	10.74	9.66	10.29	9.93	44.5	-4.946	0.900	10.76	9.93	10.48	9.93	36.9	-4.104	0.883	10.57	9.87	10.32	9.93	24.4	-2.708	0.934	10.75	10.31	10.58	9.93	9.99	20.00	0.10
2024-08-19/3:09:09 PM	15883	17	F300/W1/M600	72.9	-8.101	0.989	10.78	9.54	10.25	9.82	39.1	-4.342	0.969	10.69	10.02	10.41	9.82	42.9	-4.765	0.917	10.61	9.82	10.32	9.82	30.1	-3.340	0.968	10.81	10.28	10.59	9.82	9.81	20.00	0.10
2024-08-19/3:24:10 PM	16783	18	F300/W1/M600	59.5	-6.610	0.967	10.79	9.74	10.37	9.92	29.6	-3.288	0.938	10.73	10.19	10.52	9.92	39.8	-4.420	0.895	10.65	9.91	10.39	9.92	29.0	-3.217	0.962	10.86	10.34	10.65	9.92	9.91	20.00	0.10
2024-08-19/3:39:11 PM	17685	19	F300/W1/M600	60.7	-6.747	0.981	10.80	9.74	10.37	10.00	31.1	-3.455	0.950	10.76	10.20	10.55	10.00	40.3	-4.478	0.911	10.69	9.93	10.41	10.00	28.2	-3.138	0.959	10.88	10.38	10.68	10.00	9.99	20.00	0.10
2024-08-19/3:54:12 PM	18586	20	F300/W1/M600	63.1	-7.012	0.976	10.82	9.72	10.37	10.08	30.4	-3.377	0.955	10.77	10.23	10.56	10.08	50.3	-5.593	0.900	10.67	9.77	10.36	10.08	27.9	-3.105	0.954	10.89	10.38	10.69	10.08	10.07	20.00	0.10
2024-08-19/4:09:13 PM	19487	21	F300/W1/M600	67.1	-7.450	0.982	10.81	9.68	10.33	10.16	30.7	-3.417	0.951	10.76	10.22	10.55	10.16	35.0	-3.885	0.874	10.59	9.93	10.35	10.16	27.2	-3.022	0.962	10.88	10.39	10.69	10.16	10.15	20.00	0.10
2024-08-19/4:24:14 PM	20388	22	F300/W1/M600	62.2	-6.907	0.976	10.78	9.71	10.35	10.23	30.8	-3.424	0.958	10.74	10.20	10.53	10.23	38.4	-4.265	0.901	10.62	9.90	10.38	10.23	28.1	-3.123	0.967	10.88	10.38	10.68	10.23	10.22	20.00	0.10
2024-08-19/4:39:15 PM	21289	23	F300/W1/M600	65.6	-7.289	0.980	10.78	9.65	10.31	10.31	30.1	-3.348	0.957	10.73	10.20	10.52	10.31	35.7	-3.970	0.900	10.63	9.94	10.39	10.31	29.1	-3.232	0.969	10.86	10.34	10.65	10.31	10.30	20.00	0.10
2024-08-19/4:54:16 PM	22190	24	F300/W1/M600	61.3	-6.811	0.979	10.75	9.71	10.32	10.35	27.9	-3.101	0.965	10.71	10.23	10.51	10.35	51.7	-5.746	0.914	10.61	9.69	10.28	10.35	25.6	-2.848	0.973	10.82	10.38	10.64	10.35	10.35	20.00	0.10
2024-08-19/5:09:17 PM	23091	25	F300/W1/M600	61.1	-6.786	0.978	10.82	9.77	10.39	10.02	24.3	-2.705	0.913	10.77	10.31	10.61	10.02	36.7	-4.074	0.884	10.60	9.93	10.35	10.02	20.9	-2.326	0.945	10.82	10.44	10.68	10.02	10.08	20.00	0.10
2024-08-19/5:24:18 PM	23992	26	F300/W1/M600	65.4	-7.272	0.980	10.83	9.74	10.37	9.82	93.0	-10.334	0.939	10.74	9.12	10.17	9.82	55.8	-6.195	0.911	10.67	9.67	10.31	9.82	30.4	-3.378	0.968	10.87	10.34	10.65	9.82	9.84	20.00	0.10
2024-08-19/5:39:19 PM	24893	27	F300/W1/M600	68.5	-7.611	0.977	10.76	9.61	10.28	9.92	106.6	-11.850	0.959	10.52	8.68	9.83	9.92	56.6	-6.286	0.880	10.61	9.53	10.26	9.92	27.9	-3.104	0.954	10.87	10.37	10.68	9.92	9.91	20.00	0.10
2024-08-19/5:54:20 PM	25793	28	F300/W1/M600	62.2	-6.911	0.982	10.70	9.64	10.25	10.00	115.0	-12.780	0.974	10.37	8.43	9.60	10.00	111.2	-12.357	0.965	10.42	8.51	9.68	10.00	92.7	-10.302	0.977	10.79	9.15	10.16	10.00	9.99	20.00	0.10
2024-08-19/6:09:21 PM	26695	29	F300/W1/M600	65.7	-7.303	0.988	10.62	9.49	10.14	10.07	103.4	-11.490	0.973	10.33	8.63	9.62	10.07	98.8	-10.977	0.941	10.20	8.47	9.57	10.07	105.1	-11.674	0.983	10.55	8.75	9.81	10.07	10.06	20.00	0.10
2024-08-19/6:24:22 PM	27596	30	F300/W1/M600	57.2	-6.359	0.974	10.60	9.61	10.20	10.14	33.5	-3.721	0.829	10.44	9.78	10.21	10.14	58.7	-6.520	0.903	10.18	9.13	9.81	10.14	107.7	-11.970	0.970	10.46	8.65	9.75	10.14	10.13	20.00	0.10
