Date &Time [DD-MM-YYYY/HH:MM:SS],Phase,Barometric pressure [hPa],Salinity [â],CH1 O2 input [phase],CH1 temp (∞C),CH1 O2 [mgO2/L],CH2 O2 input [phase],CH2 temp (∞C),CH2 O2 [mgO2/L],CH3 O2 input [phase],CH3 temp (∞C),CH3 O2 [mgO2/L],CH4 O2 input [phase],CH4 temp (∞C),CH4 O2 [mgO2/L],CH5 O2 input [V],CH5 temp (∞C),CH5 O2 [mgO2/L],CH6 O2 input [V],CH6 temp (∞C),CH6 O2 [mgO2/L],CH7 O2 input [V],CH7 temp (∞C),CH7 O2 [mgO2/L],CH8 O2 input [V],CH8 temp (∞C),CH8 O2 [mgO2/L],CH1 Velocity input [V],CH1 Velocity [cm/s],CH5 Velocity input [V],CH5 Velocity [cm/s],AMB temp N∞1 input [V],AMB temp N∞1 [∞C],AMB temp N∞1 relay,AMB temp N∞2 input [V],AMB temp N∞2 [∞C],AMB temp N∞2 relay,AMB O2 N∞1 input (V),AMB O2 N∞1 temp (∞C),AMB O2 N∞1 [mgO2/L],AMB O2 N∞1 relay,AMB O2 N∞2 input (V),AMB O2 N∞2 temp (∞C),AMB O2 N∞2 [mgO2/L],AMB O2 N∞2 relay,User event
2024-08-22/9:49:18 AM,Flush,1013,0,30.2933,9.8,10.96,30.7283,9.8,10.97,31.05,9.8,10.91,30.9367,9.8,10.98,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,NaN,NaN,NaN,9.8,9.8,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-22/9:49:19 AM,Flush,1013,0,30.3025,9.8,10.96,30.73,9.8,10.96,31.0437,9.8,10.91,30.9462,9.8,10.97,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,NaN,NaN,NaN,9.8,9.8,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-22/9:49:20 AM,M1   ,1013,0,30.3038,9.81,10.95,30.73,9.81,10.96,31.0338,9.81,10.92,30.9313,9.81,10.98,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,NaN,NaN,NaN,9.8063,9.81,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-22/9:49:21 AM,M1   ,1013,0,30.3,9.8,10.96,30.7237,9.8,10.97,31.0425,9.8,10.91,30.9262,9.8,10.99,NaN,9.81,NaN,NaN,9.81,NaN,NaN,9.81,NaN,NaN,9.81,NaN,NaN,NaN,NaN,NaN,9.8038,9.8,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-22/9:49:22 AM,M1   ,1013,0,30.2937,9.8,10.96,30.72,9.8,10.97,31.0437,9.8,10.91,30.93,9.8,10.99,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,NaN,NaN,NaN,9.8,9.8,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-22/9:49:23 AM,M1   ,1013,0,30.3025,9.8,10.96,30.72,9.8,10.97,31.0463,9.8,10.91,30.9238,9.8,10.99,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,NaN,NaN,NaN,9.8,9.8,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-22/9:49:24 AM,M1   ,1013,0,30.3163,9.8,10.94,30.72,9.8,10.97,31.05,9.8,10.91,30.9262,9.8,10.99,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,NaN,NaN,NaN,9.8,9.8,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-22/9:49:25 AM,M1   ,1013,0,30.32,9.8,10.94,30.7263,9.8,10.97,31.0375,9.8,10.92,30.93,9.8,10.99,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,NaN,NaN,NaN,9.8,9.8,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-22/9:49:26 AM,M1   ,1013,0,30.3075,9.81,10.95,30.73,9.81,10.96,31.0362,9.81,10.92,30.9363,9.81,10.98,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,9.8,NaN,NaN,NaN,NaN,NaN,9.8063,9.81,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-22/9:49:27 AM,M1   ,1013,0,30.2937,9.81,10.96,30.73,9.81,10.96,31.0275,9.81,10.92,30.94,9.81,10.97,NaN,9.81,NaN,NaN,9.81,NaN,NaN,9.81,NaN,NaN,9.81,NaN,NaN,NaN,NaN,NaN,9.81,9.81,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
