Date & time of file creation	2025-06-03 3:25 PM																																	
Data file path	C:\Users\ry1ho\OneDrive\Desktop\2025-06-03_BrookTrout_EPOC_15C.txt																																	
Raw data file path	C:\Users\ry1ho\OneDrive\Desktop\2025-06-03_BrookTrout_EPOC_15C_raw.txt																																	
																																		
																																		
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																													
Chamber 1	100	900	10																															
Chamber 2	100	900																																
Chamber 3	100	900																																
Chamber 4	100	900																																
																																		
																																		
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [mgO2/L/hr]	CH 1 R^2	CH 1 max O2 [mgO2/L]	CH 1 min O2 [mgO2/L]	CH 1 avg O2 [mgO2/L]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [mgO2/L/hr]	CH 2 R^2	CH 2 max O2 [mgO2/L]	CH 2 min O2 [mgO2/L]	CH 2 avg O2 [mgO2/L]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [mgO2/L/hr]	CH 3 R^2	CH 3 max O2 [mgO2/L]	CH 3 min O2 [mgO2/L]	CH 3 avg O2 [mgO2/L]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [mgO2/L/hr]	CH 4 R^2	CH 4 max O2 [mgO2/L]	CH 4 min O2 [mgO2/L]	CH 4 avg O2 [mgO2/L]	CH 4 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
2025-06-03/3:35:09 PM	548	1	F300/W1/M360	1.0	-0.111	0.095	10.08	10.03	10.06	15.94	2.9	-0.317	0.406	10.07	9.99	10.02	15.94	2.5	-0.274	0.225	9.98	9.88	9.92	15.94	-1.1	0.120	0.041	10.06	9.98	10.02	15.94	15.92	20.00	0.10
2025-06-03/3:54:27 PM	1706	4	F300/W1/M300	173.6	-19.293	0.997	9.58	8.08	8.89	16.20	107.8	-11.974	0.750	9.96	8.85	9.69	16.20	5.5	-0.613	0.479	9.84	9.71	9.77	16.20	-1.2	0.136	0.072	9.98	9.92	9.95	16.20	16.11	20.00	0.10
2025-06-03/4:04:28 PM	2307	5	F300/W1/M300	167.3	-18.594	0.998	9.48	8.02	8.78	16.32	268.4	-29.820	0.996	9.12	6.84	8.03	16.32	84.1	-9.343	0.869	9.68	8.88	9.44	16.32	8.2	-0.907	0.113	9.92	9.68	9.81	16.32	16.29	20.00	0.10
2025-06-03/4:13:36 PM	2855	6	F300/W1/M240	159.6	-17.738	0.995	9.23	8.13	8.70	16.35	282.3	-31.369	0.997	8.91	6.94	7.99	16.35	170.9	-18.986	0.995	9.12	7.90	8.54	16.35	-4.6	0.514	0.126	9.81	9.68	9.75	16.35	16.37	20.00	0.10
2025-06-03/4:22:37 PM	3396	7	F300/W1/M240	199.9	-22.214	0.996	9.00	7.66	8.35	16.20	283.7	-31.517	0.996	8.72	6.81	7.83	16.20	165.7	-18.409	0.994	8.91	7.75	8.38	16.20	0.4	-0.050	0.008	9.71	9.65	9.68	16.20	16.25	20.00	0.10
