Date & time of file creation	2025-06-13 9:33 AM																																	
Data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\15 C Respirometry Data 2025\Trial 6 July 12 2025\2025-06-13_PostBlank.txt																																	
Raw data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\15 C Respirometry Data 2025\Trial 6 July 12 2025\2025-06-13_PostBlank_raw.txt																																	
																																		
																																		
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																													
Chamber 1	100	900	10																															
Chamber 2	100	900																																
Chamber 3	100	900																																
Chamber 4	100	900																																
																																		
																																		
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [mgO2/L/hr]	CH 1 R^2	CH 1 max O2 [mgO2/L]	CH 1 min O2 [mgO2/L]	CH 1 avg O2 [mgO2/L]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [mgO2/L/hr]	CH 2 R^2	CH 2 max O2 [mgO2/L]	CH 2 min O2 [mgO2/L]	CH 2 avg O2 [mgO2/L]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [mgO2/L/hr]	CH 3 R^2	CH 3 max O2 [mgO2/L]	CH 3 min O2 [mgO2/L]	CH 3 avg O2 [mgO2/L]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [mgO2/L/hr]	CH 4 R^2	CH 4 max O2 [mgO2/L]	CH 4 min O2 [mgO2/L]	CH 4 avg O2 [mgO2/L]	CH 4 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
2025-06-13/9:37:24 AM	221	1	M200	0.6	-0.071	0.014	10.04	9.99	10.01	15.29	-1.7	0.189	0.074	9.98	9.91	9.94	15.29	-1.8	0.205	0.083	10.01	9.96	9.98	15.29	2.3	-0.256	0.103	9.93	9.86	9.89	15.29	15.29	20.00	0.10
2025-06-13/9:40:44 AM	421	2	M200	1.2	-0.129	0.064	10.03	9.99	10.01	15.29	0.9	-0.095	0.027	9.98	9.91	9.94	15.29	1.7	-0.184	0.076	10.02	9.95	9.98	15.29	4.1	-0.456	0.282	9.91	9.84	9.87	15.29	15.29	20.00	0.10
2025-06-13/9:44:04 AM	621	3	M200	-0.8	0.087	0.028	10.03	9.99	10.01	15.28	0.4	-0.048	0.007	9.97	9.91	9.94	15.28	-0.3	0.031	0.003	10.00	9.96	9.98	15.28	3.9	-0.433	0.256	9.89	9.82	9.85	15.28	15.28	20.00	0.10
2025-06-13/9:47:24 AM	821	4	M200	-0.0	0.002	0.000	10.03	9.99	10.01	15.28	0.4	-0.049	0.006	9.97	9.92	9.94	15.28	0.5	-0.061	0.010	10.00	9.95	9.98	15.28	1.9	-0.217	0.078	9.86	9.80	9.83	15.28	15.28	20.00	0.10
2025-06-13/9:50:44 AM	1021	5	M200	0.6	-0.068	0.020	10.03	9.99	10.01	15.28	0.5	-0.050	0.007	9.97	9.91	9.94	15.28	0.2	-0.024	0.001	10.00	9.95	9.97	15.28	-2.1	0.237	0.100	9.88	9.81	9.85	15.28	15.28	20.00	0.10
2025-06-13/9:54:04 AM	1221	6	M200	0.6	-0.066	0.016	10.04	9.99	10.01	15.27	0.5	-0.059	0.010	9.96	9.91	9.94	15.27	0.9	-0.103	0.026	10.00	9.94	9.97	15.27	0.1	-0.012	0.000	9.89	9.84	9.86	15.27	15.27	20.00	0.10
2025-06-13/9:57:24 AM	1421	7	M200	0.5	-0.051	0.010	10.02	9.98	10.00	15.27	0.9	-0.104	0.033	9.96	9.91	9.93	15.27	1.1	-0.121	0.035	10.00	9.94	9.97	15.27	1.2	-0.136	0.037	9.90	9.82	9.85	15.27	15.27	20.00	0.10
2025-06-13/10:00:44 AM	1621	8	M200	0.2	-0.026	0.002	10.02	9.98	10.00	15.27	1.1	-0.117	0.039	9.96	9.90	9.93	15.27	0.5	-0.051	0.006	9.99	9.94	9.96	15.27	-1.2	0.136	0.032	9.89	9.81	9.85	15.27	15.27	20.00	0.10
