Date & time of file creation	2025-06-14 4:16 PM																																	
Data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\15 C Respirometry Data 2025\Trial 8 June 14 2025\2025-06-14_BrookTrout_EPOC_15C_Trial8.txt																																	
Raw data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\15 C Respirometry Data 2025\Trial 8 June 14 2025\2025-06-14_BrookTrout_EPOC_15C_Trial8_raw.txt																																	
																																		
																																		
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																													
Chamber 1	100	900	10																															
Chamber 2	100	900																																
Chamber 3	100	900																																
Chamber 4	100	900																																
																																		
																																		
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [mgO2/L/hr]	CH 1 R^2	CH 1 max O2 [mgO2/L]	CH 1 min O2 [mgO2/L]	CH 1 avg O2 [mgO2/L]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [mgO2/L/hr]	CH 2 R^2	CH 2 max O2 [mgO2/L]	CH 2 min O2 [mgO2/L]	CH 2 avg O2 [mgO2/L]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [mgO2/L/hr]	CH 3 R^2	CH 3 max O2 [mgO2/L]	CH 3 min O2 [mgO2/L]	CH 3 avg O2 [mgO2/L]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [mgO2/L/hr]	CH 4 R^2	CH 4 max O2 [mgO2/L]	CH 4 min O2 [mgO2/L]	CH 4 avg O2 [mgO2/L]	CH 4 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
2025-06-14/4:24:37 PM	435	1	F300/W1/M200	159.1	-17.679	0.990	9.89	8.97	9.49	15.19	0.2	-0.018	0.001	10.15	10.07	10.11	15.19	0.7	-0.074	0.006	10.13	10.06	10.10	15.19	2.7	-0.298	0.074	10.15	10.05	10.11	15.19	15.16	20.00	0.10
2025-06-14/4:32:58 PM	936	2	F300/W1/M200	162.8	-18.090	0.982	9.63	8.69	9.25	15.26	124.4	-13.821	0.884	10.07	9.33	9.84	15.26	-2.0	0.226	0.183	10.08	10.03	10.05	15.26	-2.2	0.245	0.149	10.11	10.05	10.08	15.26	15.25	20.00	0.10
2025-06-14/4:41:19 PM	1437	3	F300/W1/M200	163.8	-18.201	0.980	9.53	8.59	9.15	15.32	228.6	-25.397	0.986	9.51	8.22	8.97	15.32	0.8	-0.088	0.014	10.00	9.94	9.97	15.32	2.7	-0.298	0.136	10.07	10.00	10.04	15.32	15.31	20.00	0.10
2025-06-14/4:49:40 PM	1938	4	F300/W1/M200	138.8	-15.426	0.978	9.44	8.66	9.13	15.32	199.6	-22.173	0.975	9.32	8.19	8.87	15.32	34.9	-3.876	0.883	9.88	9.65	9.80	15.32	4.0	-0.440	0.304	10.02	9.94	9.98	15.32	15.32	20.00	0.10
