Date & time of file creation	2024-08-04 3:27 PM																																	
Data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\Prelimneary Trials\RandomN.txt																																	
Raw data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\Prelimneary Trials\RandomN_raw.txt																																	
																																		
																																		
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																													
Chamber 1	100	900	10																															
Chamber 2	100	900																																
Chamber 3	100	900																																
Chamber 4	100	900																																
																																		
																																		
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
2024-08-04/3:39:43 PM	720	1	F300/W1/M600	2.3	-0.245	0.261	103.56	101.96	103.06	9.94	2.4	-0.365	0.290	102.49	101.37	102.07	9.94	1.5	0.518	0.167	101.91	100.88	101.42	9.94	1.6	0.464	0.243	102.97	101.87	102.47	9.94	9.93	20.00	0.10
2024-08-04/3:54:44 PM	1621	2	M600	1.2	-2.673	0.083	103.72	102.38	103.13	10.04	1.2	-2.631	0.096	102.81	101.54	102.25	10.04	-0.1	-1.349	0.002	102.03	100.98	101.59	10.04	1.5	-3.013	0.161	103.09	101.92	102.57	10.04	10.05	20.00	0.10
2024-08-04/4:04:44 PM	2221	3	M600	1.6	-2.603	0.077	103.36	101.41	102.78	9.94	0.8	-1.852	0.046	102.44	101.31	101.90	9.94	0.3	-1.296	0.005	101.79	100.72	101.30	9.94	0.5	-1.542	0.026	102.60	101.71	102.15	9.94	9.94	20.00	0.10
2024-08-04/4:14:44 PM	2821	4	F300/W1/M600	116.5	-114.489	0.997	101.70	82.80	91.83	9.89	96.7	-95.205	0.881	102.54	86.95	97.32	9.89	1.0	-1.905	0.061	101.83	100.51	101.14	9.89	0.3	-1.267	0.012	102.39	101.50	101.88	9.89	9.89	20.00	0.10
2024-08-04/4:27:16 PM	3573	5	F300/W1/M600	76.5	-76.141	0.980	99.38	86.80	93.99	9.80	123.4	-121.689	0.995	97.35	78.35	88.01	9.80	87.0	-86.333	0.997	98.91	85.19	92.08	9.80	-4.5	2.540	0.690	101.60	100.57	101.14	9.80	9.81	20.00	0.10
2024-08-04/4:42:17 PM	4474	6	F300/W1/M600	100.5	-99.519	0.997	98.49	82.99	90.94	9.60	116.3	-114.763	0.993	97.36	80.08	88.99	9.60	57.1	-57.525	0.986	97.45	87.81	93.24	9.60	-5.6	3.040	0.855	100.39	99.38	99.91	9.60	9.63	20.00	0.10
2024-08-04/4:57:18 PM	5375	7	F300/W1/M600	87.9	-83.187	0.997	97.60	84.27	91.29	9.52	90.2	-85.449	0.995	96.10	82.62	89.34	9.52	63.7	-59.739	0.998	96.38	86.72	91.53	9.52	1.6	0.434	0.353	98.82	98.20	98.53	9.52	9.51	20.00	0.10
2024-08-04/5:12:19 PM	6276	8	F300/W1/M600	77.5	-73.770	0.997	98.58	87.01	93.06	9.73	92.6	-88.464	0.996	97.34	83.52	90.38	9.73	60.4	-57.118	0.993	97.99	89.24	93.84	9.73	0.5	1.239	0.059	100.39	99.68	100.03	9.73	9.69	20.00	0.10
2024-08-04/5:27:20 PM	7177	9	F300/W1/M600	64.3	-61.356	0.997	99.72	89.98	95.02	9.90	89.1	-85.605	0.989	98.97	85.57	92.31	9.90	57.0	-54.183	0.994	99.04	90.37	94.90	9.90	0.4	1.151	0.047	101.37	100.69	101.00	9.90	9.87	20.00	0.10
2024-08-04/5:42:21 PM	8078	10	F300/W1/M600	61.7	-59.081	0.996	100.78	91.51	96.45	10.07	92.1	-88.955	0.990	99.72	86.00	93.50	10.07	61.0	-58.431	0.992	99.15	89.78	94.51	10.07	0.6	0.847	0.128	101.64	101.14	101.39	10.07	10.04	20.00	0.10
2024-08-04/5:57:22 PM	8979	11	F300/W1/M600	37.9	-40.046	0.996	101.33	94.78	98.20	10.02	67.8	-69.131	0.987	98.95	87.80	92.95	10.02	29.5	-31.796	0.992	99.74	94.67	97.31	10.02	-6.4	3.240	0.949	102.19	101.41	101.77	10.02	10.06	20.00	0.10
2024-08-04/6:12:23 PM	9880	12	F300/W1/M600	48.7	-50.096	0.959	100.08	91.81	96.78	9.78	89.8	-89.931	0.962	98.97	84.51	93.39	9.78	29.7	-31.522	0.972	98.89	93.40	96.64	9.78	-6.1	3.208	0.931	101.03	100.22	100.66	9.78	9.82	20.00	0.10
