Date & time of file creation	2024-08-24 2:18 PM																										
Data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\Respirometry Data Summer 2024\Good Trials\Trial 11 Aug 24 2024\2024-08-24-BrookTrout_EPOC_10c_Trial11.txt																										
Raw data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\Respirometry Data Summer 2024\Good Trials\Trial 11 Aug 24 2024\2024-08-24-BrookTrout_EPOC_10c_Trial11_raw.txt																										
																											
																											
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																						
Chamber 1	100	900	10																								
Chamber 2	100	900																									
Chamber 3	100	900																									
																											
																											
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [mgO2/L/hr]	CH 1 R^2	CH 1 max O2 [mgO2/L]	CH 1 min O2 [mgO2/L]	CH 1 avg O2 [mgO2/L]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [mgO2/L/hr]	CH 2 R^2	CH 2 max O2 [mgO2/L]	CH 2 min O2 [mgO2/L]	CH 2 avg O2 [mgO2/L]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [mgO2/L/hr]	CH 3 R^2	CH 3 max O2 [mgO2/L]	CH 3 min O2 [mgO2/L]	CH 3 avg O2 [mgO2/L]	CH 3 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
2024-08-24/2:29:10 PM	604	1	M600	0.1	-0.012	0.000	11.44	11.29	11.37	9.88	-0.9	0.103	0.094	11.43	11.33	11.38	9.88	-0.3	0.037	0.019	11.41	11.33	11.37	9.88	9.88	20.00	0.10
2024-08-24/2:39:10 PM	1204	2	M600	0.2	-0.027	0.003	11.45	11.30	11.38	9.77	0.3	-0.034	0.013	11.43	11.34	11.38	9.77	-0.7	0.082	0.094	11.41	11.33	11.37	9.77	9.77	20.00	0.10
2024-08-24/2:55:25 PM	2179	4	F300/W1/M600	166.9	-18.546	0.999	11.29	8.31	9.83	9.60	-0.4	0.045	0.020	11.47	11.35	11.40	9.60	-0.6	0.067	0.055	11.44	11.35	11.39	9.60	9.63	20.00	0.10
2024-08-24/3:10:26 PM	3080	5	F300/W1/M600	103.6	-11.506	0.969	10.94	9.12	10.21	9.46	2.5	-0.283	0.417	11.36	11.25	11.31	9.46	120.1	-13.340	0.803	11.37	9.09	10.78	9.46	9.48	20.00	0.10
2024-08-24/3:25:27 PM	3981	6	F300/W1/M600	93.6	-10.403	0.975	10.91	9.29	10.25	9.52	186.0	-20.663	0.992	11.19	8.05	9.80	9.52	193.1	-21.457	0.996	10.70	7.34	8.99	9.52	9.48	20.00	0.10
2024-08-24/3:40:28 PM	4882	7	F300/W1/M600	114.7	-12.746	0.959	10.63	8.64	9.87	9.74	143.6	-15.955	0.996	10.49	8.07	9.37	9.74	146.6	-16.294	0.999	10.63	8.06	9.41	9.74	9.71	20.00	0.10
2024-08-24/3:55:29 PM	5783	8	F300/W1/M600	97.8	-10.871	0.977	10.30	8.57	9.61	9.94	146.4	-16.264	0.996	10.25	7.76	9.11	9.94	144.7	-16.072	0.999	10.37	7.81	9.17	9.94	9.91	20.00	0.10
2024-08-24/4:15:36 PM	6990	10	F300/W1/M600	105.9	-11.769	0.986	10.61	8.78	9.85	10.09	115.3	-12.806	0.998	10.59	8.58	9.65	10.09	132.1	-14.680	0.998	10.63	8.35	9.54	10.09	10.06	20.00	0.10
2024-08-24/4:30:37 PM	7891	11	F300/W1/M600	124.0	-13.782	0.971	10.62	8.53	9.78	10.15	94.0	-10.439	0.996	10.68	9.05	9.93	10.15	110.1	-12.237	0.998	10.79	8.86	9.86	10.15	10.14	20.00	0.10
2024-08-24/4:45:38 PM	8792	12	F300/W1/M600	102.3	-11.367	0.964	10.58	8.78	9.90	10.20	80.9	-8.991	0.995	10.77	9.38	10.13	10.20	91.5	-10.164	0.998	10.85	9.27	10.10	10.20	10.20	20.00	0.10
2024-08-24/5:00:39 PM	9693	13	F300/W1/M600	124.9	-13.880	0.963	10.59	8.43	9.78	10.23	79.7	-8.860	0.994	10.84	9.49	10.22	10.23	81.6	-9.071	0.998	10.92	9.49	10.24	10.23	10.23	20.00	0.10
2024-08-24/5:15:40 PM	10594	14	F300/W1/M600	121.6	-13.507	0.966	10.54	8.46	9.73	10.25	67.7	-7.520	0.988	10.86	9.67	10.36	10.25	74.3	-8.250	0.997	10.93	9.61	10.32	10.25	10.25	20.00	0.10
2024-08-24/5:30:41 PM	11495	15	F300/W1/M600	106.1	-11.786	0.975	10.58	8.74	9.83	10.28	61.7	-6.860	0.993	10.88	9.82	10.41	10.28	73.0	-8.107	0.998	10.91	9.65	10.30	10.28	10.27	20.00	0.10
2024-08-24/5:45:42 PM	12396	16	F300/W1/M600	87.7	-9.747	0.937	10.62	9.04	10.05	10.29	79.1	-8.786	0.954	10.90	9.50	10.37	10.29	67.2	-7.461	0.997	10.97	9.79	10.42	10.29	10.29	20.00	0.10
2024-08-24/6:00:43 PM	13297	17	F300/W1/M600	91.2	-10.137	0.953	10.66	9.08	10.07	10.30	60.1	-6.682	0.994	10.88	9.84	10.41	10.30	67.4	-7.492	0.997	10.98	9.80	10.44	10.30	10.30	20.00	0.10
2024-08-24/6:15:44 PM	14198	18	F300/W1/M600	123.5	-13.718	0.957	10.63	8.50	9.83	10.30	55.5	-6.165	0.994	10.92	9.95	10.48	10.30	62.8	-6.979	0.998	11.00	9.89	10.48	10.30	10.30	20.00	0.10
2024-08-24/6:30:45 PM	15099	19	F300/W1/M600	112.1	-12.451	0.938	10.55	8.52	9.83	10.30	54.3	-6.034	0.992	10.91	9.96	10.49	10.30	61.8	-6.865	0.997	10.98	9.90	10.47	10.30	10.30	20.00	0.10
2024-08-24/6:45:46 PM	16000	20	F300/W1/M600	99.0	-10.997	0.942	10.58	8.80	9.95	10.31	53.9	-5.989	0.992	10.90	9.96	10.49	10.31	60.2	-6.686	0.997	10.97	9.91	10.48	10.31	10.31	20.00	0.10
2024-08-24/7:00:47 PM	16901	21	F300/W1/M600	135.5	-15.058	0.957	10.50	8.20	9.62	10.31	51.8	-5.760	0.990	10.89	10.00	10.51	10.31	65.8	-7.307	0.998	10.98	9.82	10.43	10.31	10.31	20.00	0.10
2024-08-24/7:15:48 PM	17802	22	F300/W1/M600	91.5	-10.170	0.934	10.55	8.93	9.97	10.31	51.5	-5.721	0.989	10.91	10.02	10.52	10.31	61.0	-6.782	0.998	10.98	9.91	10.47	10.31	10.32	20.00	0.10
2024-08-24/7:30:49 PM	18703	23	F300/W1/M600	77.8	-8.645	0.906	10.69	9.16	10.20	10.31	51.3	-5.696	0.990	10.95	10.05	10.55	10.31	67.1	-7.450	0.996	10.99	9.81	10.45	10.31	10.32	20.00	0.10
2024-08-24/7:45:50 PM	19604	24	F300/W1/M600	93.7	-10.409	0.968	10.74	9.08	10.09	10.31	53.7	-5.966	0.988	10.95	10.03	10.55	10.31	74.6	-8.294	0.984	11.01	9.64	10.44	10.31	10.31	20.00	0.10
2024-08-24/8:00:51 PM	20505	25	F300/W1/M600	112.8	-12.530	0.956	10.79	8.82	10.05	10.30	110.4	-12.270	0.944	10.95	8.97	10.24	10.30	63.3	-7.031	0.998	11.00	9.86	10.45	10.30	10.30	20.00	0.10
2024-08-24/8:15:52 PM	21406	26	F300/W1/M600	105.2	-11.687	0.947	10.65	8.79	9.98	10.30	70.9	-7.881	0.971	10.88	9.51	10.36	10.30	57.0	-6.329	0.997	10.97	9.96	10.51	10.30	10.30	20.00	0.10
2024-08-24/8:30:53 PM	22307	27	F300/W1/M600	85.8	-9.529	0.970	10.65	9.22	10.05	10.29	150.5	-16.724	0.997	10.80	8.13	9.57	10.29	64.3	-7.140	0.992	10.97	9.82	10.48	10.29	10.29	20.00	0.10
2024-08-24/8:45:54 PM	23208	28	F300/W1/M600	46.3	-5.149	0.945	10.78	9.94	10.45	10.28	160.7	-17.856	0.995	10.63	7.89	9.39	10.28	74.8	-8.307	0.996	10.96	9.64	10.35	10.28	10.28	20.00	0.10
2024-08-24/9:00:55 PM	24109	29	F300/W1/M600	46.8	-5.200	0.958	10.83	9.96	10.50	10.27	69.2	-7.692	0.991	10.73	9.55	10.21	10.27	63.5	-7.056	0.998	10.96	9.83	10.41	10.27	10.27	20.00	0.10
2024-08-24/9:15:56 PM	25010	30	F300/W1/M600	45.1	-5.014	0.952	10.83	10.03	10.52	10.25	54.9	-6.105	0.993	10.99	10.01	10.55	10.25	58.9	-6.550	0.998	11.02	9.97	10.52	10.25	10.26	20.00	0.10
2024-08-24/9:30:57 PM	25911	31	F300/W1/M600	48.4	-5.379	0.936	10.88	9.99	10.56	10.24	54.0	-5.999	0.993	11.04	10.09	10.62	10.24	58.0	-6.442	0.996	11.08	10.05	10.58	10.24	10.25	20.00	0.10
2024-08-24/9:45:58 PM	26812	32	F300/W1/M600	41.6	-4.627	0.955	10.91	10.17	10.61	10.24	53.5	-5.946	0.994	11.07	10.12	10.63	10.24	53.9	-5.990	0.997	11.08	10.13	10.63	10.24	10.24	20.00	0.10
2024-08-24/10:00:59 PM	27713	33	F300/W1/M600	42.6	-4.734	0.959	10.94	10.17	10.63	10.23	54.8	-6.089	0.992	11.09	10.12	10.65	10.23	53.7	-5.962	0.997	11.10	10.14	10.65	10.23	10.23	20.00	0.10
2024-08-24/10:16:00 PM	28614	34	F300/W1/M600	45.2	-5.022	0.961	10.97	10.16	10.64	10.22	54.9	-6.100	0.994	11.08	10.13	10.65	10.22	53.8	-5.977	0.997	11.10	10.15	10.66	10.22	10.22	20.00	0.10
2024-08-24/10:31:01 PM	29515	35	F300/W1/M600	43.9	-4.877	0.952	10.93	10.14	10.63	10.22	53.0	-5.884	0.993	11.09	10.16	10.66	10.22	54.3	-6.033	0.997	11.12	10.14	10.66	10.22	10.22	20.00	0.10
2024-08-24/10:46:02 PM	30416	36	F300/W1/M600	42.0	-4.661	0.957	10.94	10.18	10.64	10.21	52.5	-5.829	0.993	11.10	10.15	10.68	10.21	53.3	-5.928	0.997	11.12	10.16	10.66	10.21	10.21	20.00	0.10
