Date &Time [DD-MM-YYYY/HH:MM:SS],Phase,Barometric pressure [hPa],Salinity [â],CH1 O2 input [phase],CH1 temp (∞C),CH1 O2 [mgO2/L],CH2 O2 input [phase],CH2 temp (∞C),CH2 O2 [mgO2/L],CH3 O2 input [phase],CH3 temp (∞C),CH3 O2 [mgO2/L],CH4 O2 input [phase],CH4 temp (∞C),CH4 O2 [mgO2/L],CH5 O2 input [V],CH5 temp (∞C),CH5 O2 [mgO2/L],CH6 O2 input [V],CH6 temp (∞C),CH6 O2 [mgO2/L],CH7 O2 input [V],CH7 temp (∞C),CH7 O2 [mgO2/L],CH8 O2 input [V],CH8 temp (∞C),CH8 O2 [mgO2/L],CH1 Velocity input [V],CH1 Velocity [cm/s],CH5 Velocity input [V],CH5 Velocity [cm/s],AMB temp N∞1 input [V],AMB temp N∞1 [∞C],AMB temp N∞1 relay,AMB temp N∞2 input [V],AMB temp N∞2 [∞C],AMB temp N∞2 relay,AMB O2 N∞1 input (V),AMB O2 N∞1 temp (∞C),AMB O2 N∞1 [mgO2/L],AMB O2 N∞1 relay,AMB O2 N∞2 input (V),AMB O2 N∞2 temp (∞C),AMB O2 N∞2 [mgO2/L],AMB O2 N∞2 relay,User event
2024-08-09/1:02:46 PM,Flush,1013,0,29.66,9.67,11.4,30,9.67,11.45,30.46,9.67,11.53,30.4612,9.67,11.44,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:02:47 PM,Flush,1013,0,29.6612,9.67,11.39,30,9.67,11.45,30.46,9.67,11.53,30.4687,9.67,11.44,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:02:48 PM,M1   ,1013,0,29.6713,9.67,11.38,30,9.67,11.45,30.46,9.67,11.53,30.4612,9.67,11.44,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:02:49 PM,M1   ,1013,0,29.6775,9.67,11.38,30.005,9.67,11.45,30.4575,9.67,11.53,30.465,9.67,11.44,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.6675,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:02:50 PM,M1   ,1013,0,29.67,9.66,11.39,30.02,9.66,11.44,30.45,9.66,11.54,30.45,9.66,11.46,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.6625,9.66,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:02:51 PM,M1   ,1013,0,29.6688,9.67,11.39,30.0188,9.67,11.43,30.45,9.67,11.54,30.4525,9.67,11.45,NaN,9.66,NaN,NaN,9.66,NaN,NaN,9.66,NaN,NaN,9.66,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:02:52 PM,M1   ,1013,0,29.6625,9.67,11.39,30.0125,9.67,11.44,30.45,9.67,11.54,30.4675,9.67,11.44,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:02:53 PM,M1   ,1013,0,29.67,9.67,11.39,30.0175,9.67,11.44,30.4475,9.67,11.54,30.455,9.67,11.45,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:02:54 PM,M1   ,1013,0,29.67,9.67,11.38,30.0125,9.67,11.44,30.44,9.67,11.55,30.4425,9.67,11.46,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.6725,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:02:55 PM,M1   ,1013,0,29.67,9.68,11.38,30.0175,9.68,11.43,30.4425,9.68,11.54,30.4525,9.68,11.45,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.68,9.68,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:02:56 PM,M1   ,1013,0,29.67,9.68,11.38,30.005,9.68,11.44,30.46,9.68,11.52,30.4675,9.68,11.43,NaN,9.68,NaN,NaN,9.68,NaN,NaN,9.68,NaN,NaN,9.68,NaN,NaN,NaN,NaN,NaN,9.68,9.68,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:02:57 PM,M1   ,1013,0,29.67,9.68,11.38,30.02,9.68,11.43,30.46,9.68,11.52,30.4588,9.68,11.44,NaN,9.68,NaN,NaN,9.68,NaN,NaN,9.68,NaN,NaN,9.68,NaN,NaN,NaN,NaN,NaN,9.68,9.68,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:02:58 PM,M1   ,1013,0,29.6713,9.68,11.38,30.02,9.68,11.43,30.4575,9.68,11.53,30.4512,9.68,11.45,NaN,9.68,NaN,NaN,9.68,NaN,NaN,9.68,NaN,NaN,9.68,NaN,NaN,NaN,NaN,NaN,9.68,9.68,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:02:59 PM,M1   ,1013,0,29.68,9.68,11.37,30.02,9.68,11.43,30.4413,9.68,11.54,30.4612,9.68,11.44,NaN,9.68,NaN,NaN,9.68,NaN,NaN,9.68,NaN,NaN,9.68,NaN,NaN,NaN,NaN,NaN,9.68,9.68,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:03:00 PM,M1   ,1013,0,29.68,9.68,11.37,30.02,9.68,11.43,30.45,9.68,11.53,30.47,9.68,11.43,NaN,9.68,NaN,NaN,9.68,NaN,NaN,9.68,NaN,NaN,9.68,NaN,NaN,NaN,NaN,NaN,9.68,9.68,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:03:01 PM,M1   ,1013,0,29.68,9.68,11.37,30.02,9.68,11.43,30.45,9.68,11.54,30.4662,9.68,11.43,NaN,9.68,NaN,NaN,9.68,NaN,NaN,9.68,NaN,NaN,9.68,NaN,NaN,NaN,NaN,NaN,9.6787,9.68,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:03:02 PM,M1   ,1013,0,29.68,9.67,11.38,30.0175,9.67,11.44,30.4525,9.67,11.54,30.4413,9.67,11.46,NaN,9.68,NaN,NaN,9.68,NaN,NaN,9.68,NaN,NaN,9.68,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:03:03 PM,M1   ,1013,0,29.6775,9.67,11.38,30.0025,9.67,11.45,30.4687,9.67,11.52,30.45,9.67,11.46,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:03:04 PM,M1   ,1013,0,29.6612,9.67,11.39,30.02,9.67,11.43,30.4575,9.67,11.53,30.4525,9.67,11.45,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:03:05 PM,M1   ,1013,0,29.67,9.67,11.39,30.015,9.67,11.44,30.445,9.67,11.54,30.47,9.67,11.44,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:03:06 PM,M1   ,1013,0,29.6725,9.67,11.38,30.0075,9.67,11.45,30.4575,9.67,11.53,30.4675,9.67,11.44,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:03:07 PM,M1   ,1013,0,29.6775,9.67,11.38,30.0275,9.67,11.43,30.45,9.67,11.54,30.4625,9.67,11.44,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:03:08 PM,M1   ,1013,0,29.6725,9.67,11.38,30.02,9.67,11.43,30.4512,9.67,11.54,30.4687,9.67,11.44,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:03:09 PM,M1   ,1013,0,29.6888,9.67,11.37,30.02,9.67,11.43,30.4575,9.67,11.53,30.46,9.67,11.45,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:03:10 PM,M1   ,1013,0,29.6725,9.67,11.38,30.0225,9.67,11.43,30.4425,9.67,11.55,30.4575,9.67,11.45,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:03:11 PM,M1   ,1013,0,29.6575,9.67,11.4,30.0275,9.67,11.43,30.4475,9.67,11.54,30.4475,9.67,11.46,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-09/1:03:12 PM,M1   ,1013,0,29.6788,9.67,11.38,30.0175,9.67,11.44,30.4413,9.67,11.55,30.4425,9.67,11.46,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,9.67,NaN,NaN,NaN,NaN,NaN,9.67,9.67,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
