Date &Time [DD-MM-YYYY/HH:MM:SS],Phase,Barometric pressure [hPa],Salinity [â],CH1 O2 input [phase],CH1 temp (∞C),CH1 O2 [mgO2/L],CH2 O2 input [phase],CH2 temp (∞C),CH2 O2 [mgO2/L],CH3 O2 input [phase],CH3 temp (∞C),CH3 O2 [mgO2/L],CH4 O2 input [phase],CH4 temp (∞C),CH4 O2 [mgO2/L],CH5 O2 input [V],CH5 temp (∞C),CH5 O2 [mgO2/L],CH6 O2 input [V],CH6 temp (∞C),CH6 O2 [mgO2/L],CH7 O2 input [V],CH7 temp (∞C),CH7 O2 [mgO2/L],CH8 O2 input [V],CH8 temp (∞C),CH8 O2 [mgO2/L],CH1 Velocity input [V],CH1 Velocity [cm/s],CH5 Velocity input [V],CH5 Velocity [cm/s],AMB temp N∞1 input [V],AMB temp N∞1 [∞C],AMB temp N∞1 relay,AMB temp N∞2 input [V],AMB temp N∞2 [∞C],AMB temp N∞2 relay,AMB O2 N∞1 input (V),AMB O2 N∞1 temp (∞C),AMB O2 N∞1 [mgO2/L],AMB O2 N∞1 relay,AMB O2 N∞2 input (V),AMB O2 N∞2 temp (∞C),AMB O2 N∞2 [mgO2/L],AMB O2 N∞2 relay,User event
2024-08-16/3:05:00 PM,Flush,1013,0,29.95,9.6,11.46,30.4,9.6,11.47,30.83,9.6,11.49,30.93,9.6,11.51,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,NaN,NaN,NaN,9.6,9.6,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-16/3:05:01 PM,Flush,1013,0,29.95,9.6,11.46,30.39,9.6,11.48,30.86,9.6,11.46,30.93,9.6,11.51,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,NaN,NaN,NaN,9.6,9.6,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-16/3:05:02 PM,Flush,1013,0,29.94,9.6,11.47,30.43,9.6,11.43,30.87,9.6,11.45,30.93,9.6,11.51,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,NaN,NaN,NaN,9.6,9.6,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-16/3:05:03 PM,Flush,1013,0,29.93,9.6,11.48,30.41,9.6,11.46,30.89,9.6,11.42,30.92,9.6,11.52,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,NaN,NaN,NaN,9.6,9.6,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-16/3:05:04 PM,Flush,1013,0,29.94,9.6,11.47,30.39,9.6,11.48,30.84,9.6,11.48,30.92,9.6,11.52,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,NaN,NaN,NaN,9.6,9.6,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-16/3:05:05 PM,Flush,1013,0,29.96,9.6,11.44,30.42,9.6,11.44,30.88,9.6,11.43,30.88,9.6,11.56,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,NaN,NaN,NaN,9.6,9.6,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-16/3:05:06 PM,Flush,1013,0,29.95,9.6,11.46,30.42,9.6,11.44,30.85,9.6,11.47,30.91,9.6,11.53,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,NaN,NaN,NaN,9.6,9.6,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-16/3:05:07 PM,Flush,1013,0,29.97,9.61,11.43,30.41,9.61,11.45,30.89,9.61,11.42,30.9,9.61,11.53,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,9.6,NaN,NaN,NaN,NaN,NaN,9.61,9.61,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-16/3:05:08 PM,Flush,1013,0,29.97,9.61,11.43,30.4,9.61,11.46,30.87,9.61,11.44,30.89,9.61,11.54,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,NaN,NaN,NaN,9.61,9.61,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-16/3:05:09 PM,Flush,1013,0,29.95,9.61,11.45,30.37,9.61,11.49,30.84,9.61,11.47,30.91,9.61,11.52,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,NaN,NaN,NaN,9.61,9.61,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-16/3:05:10 PM,Flush,1013,0,29.95,9.61,11.45,30.39,9.61,11.47,30.83,9.61,11.48,30.93,9.61,11.5,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,NaN,NaN,NaN,9.61,9.61,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-16/3:05:11 PM,Flush,1013,0,29.99,9.61,11.41,30.41,9.61,11.45,30.87,9.61,11.44,30.9,9.61,11.53,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,NaN,NaN,NaN,9.61,9.61,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-16/3:05:12 PM,Flush,1013,0,30.01,9.61,11.39,30.4,9.61,11.46,30.89,9.61,11.42,30.93,9.61,11.5,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,9.61,NaN,NaN,NaN,NaN,NaN,9.61,9.61,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
