Date &Time [DD-MM-YYYY/HH:MM:SS],Phase,Barometric pressure [hPa],Salinity [â],CH1 O2 input [phase],CH1 temp (∞C),CH1 O2 [mgO2/L],CH2 O2 input [phase],CH2 temp (∞C),CH2 O2 [mgO2/L],CH3 O2 input [phase],CH3 temp (∞C),CH3 O2 [mgO2/L],CH4 O2 input [phase],CH4 temp (∞C),CH4 O2 [mgO2/L],CH5 O2 input [V],CH5 temp (∞C),CH5 O2 [mgO2/L],CH6 O2 input [V],CH6 temp (∞C),CH6 O2 [mgO2/L],CH7 O2 input [V],CH7 temp (∞C),CH7 O2 [mgO2/L],CH8 O2 input [V],CH8 temp (∞C),CH8 O2 [mgO2/L],CH1 Velocity input [V],CH1 Velocity [cm/s],CH5 Velocity input [V],CH5 Velocity [cm/s],AMB temp N∞1 input [V],AMB temp N∞1 [∞C],AMB temp N∞1 relay,AMB temp N∞2 input [V],AMB temp N∞2 [∞C],AMB temp N∞2 relay,AMB O2 N∞1 input (V),AMB O2 N∞1 temp (∞C),AMB O2 N∞1 [mgO2/L],AMB O2 N∞1 relay,AMB O2 N∞2 input (V),AMB O2 N∞2 temp (∞C),AMB O2 N∞2 [mgO2/L],AMB O2 N∞2 relay,User event
2024-08-18/6:28:58 PM,Flush,1013,0,30.23,9.92,10.75,30.38,9.92,10.79,31.02,9.92,10.62,30.57,9.92,11.03,NaN,9.92,NaN,NaN,9.92,NaN,NaN,9.92,NaN,NaN,9.92,NaN,NaN,NaN,NaN,NaN,9.92,9.92,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-18/6:28:59 PM,Flush,1013,0,30.22,9.92,10.76,30.38,9.92,10.79,31.02,9.92,10.62,30.58,9.92,11.02,NaN,9.92,NaN,NaN,9.92,NaN,NaN,9.92,NaN,NaN,9.92,NaN,NaN,NaN,NaN,NaN,9.92,9.92,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-18/6:29:00 PM,Flush,1013,0,30.22,9.92,10.76,30.39,9.92,10.78,30.99,9.92,10.64,30.6,9.92,11,NaN,9.92,NaN,NaN,9.92,NaN,NaN,9.92,NaN,NaN,9.92,NaN,NaN,NaN,NaN,NaN,9.92,9.92,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-18/6:29:01 PM,Flush,1013,0,30.23,9.92,10.75,30.37,9.92,10.8,30.99,9.92,10.64,30.59,9.92,11.01,NaN,9.92,NaN,NaN,9.92,NaN,NaN,9.92,NaN,NaN,9.92,NaN,NaN,NaN,NaN,NaN,9.92,9.92,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-18/6:29:02 PM,Flush,1013,0,30.22,9.91,10.76,30.37,9.91,10.81,31.02,9.91,10.62,30.58,9.91,11.02,NaN,9.92,NaN,NaN,9.92,NaN,NaN,9.92,NaN,NaN,9.92,NaN,NaN,NaN,NaN,NaN,9.91,9.91,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-18/6:29:03 PM,Flush,1013,0,30.24,9.91,10.75,30.39,9.91,10.79,31.01,9.91,10.63,30.59,9.91,11.01,NaN,9.91,NaN,NaN,9.91,NaN,NaN,9.91,NaN,NaN,9.91,NaN,NaN,NaN,NaN,NaN,9.91,9.91,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-18/6:29:04 PM,Flush,1013,0,30.24,9.91,10.75,30.39,9.91,10.79,31,9.91,10.64,30.58,9.91,11.02,NaN,9.91,NaN,NaN,9.91,NaN,NaN,9.91,NaN,NaN,9.91,NaN,NaN,NaN,NaN,NaN,9.91,9.91,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-18/6:29:05 PM,Flush,1013,0,30.24,9.91,10.75,30.37,9.91,10.81,31.02,9.91,10.62,30.59,9.91,11.01,NaN,9.91,NaN,NaN,9.91,NaN,NaN,9.91,NaN,NaN,9.91,NaN,NaN,NaN,NaN,NaN,9.91,9.91,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-18/6:29:06 PM,Flush,1013,0,30.24,9.91,10.75,30.36,9.91,10.82,31.01,9.91,10.63,30.58,9.91,11.02,NaN,9.91,NaN,NaN,9.91,NaN,NaN,9.91,NaN,NaN,9.91,NaN,NaN,NaN,NaN,NaN,9.91,9.91,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-18/6:29:07 PM,Flush,1013,0,30.23,9.91,10.75,30.39,9.91,10.79,31.01,9.91,10.63,30.6,9.91,11,NaN,9.91,NaN,NaN,9.91,NaN,NaN,9.91,NaN,NaN,9.91,NaN,NaN,NaN,NaN,NaN,9.91,9.91,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
