Date &Time [DD-MM-YYYY/HH:MM:SS],Phase,Barometric pressure [hPa],Salinity [â],CH1 O2 input [phase],CH1 temp (∞C),CH1 O2 [mgO2/L],CH2 O2 input [phase],CH2 temp (∞C),CH2 O2 [mgO2/L],CH3 O2 input [phase],CH3 temp (∞C),CH3 O2 [mgO2/L],CH4 O2 input [phase],CH4 temp (∞C),CH4 O2 [mgO2/L],CH5 O2 input [V],CH5 temp (∞C),CH5 O2 [mgO2/L],CH6 O2 input [V],CH6 temp (∞C),CH6 O2 [mgO2/L],CH7 O2 input [V],CH7 temp (∞C),CH7 O2 [mgO2/L],CH8 O2 input [V],CH8 temp (∞C),CH8 O2 [mgO2/L],CH1 Velocity input [V],CH1 Velocity [cm/s],CH5 Velocity input [V],CH5 Velocity [cm/s],AMB temp N∞1 input [V],AMB temp N∞1 [∞C],AMB temp N∞1 relay,AMB temp N∞2 input [V],AMB temp N∞2 [∞C],AMB temp N∞2 relay,AMB O2 N∞1 input (V),AMB O2 N∞1 temp (∞C),AMB O2 N∞1 [mgO2/L],AMB O2 N∞1 relay,AMB O2 N∞2 input (V),AMB O2 N∞2 temp (∞C),AMB O2 N∞2 [mgO2/L],AMB O2 N∞2 relay,User event
2025-06-15/6:26:53 PM,Flush,1013,0,29.46,15.34,9.88,29.59,15.34,9.79,29.24,15.34,9.87,29.14,15.34,9.79,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,NaN,NaN,NaN,15.34,15.34,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-15/6:26:54 PM,Flush,1013,0,29.46,15.34,9.88,29.6,15.34,9.78,29.24,15.34,9.87,29.14,15.34,9.79,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,NaN,NaN,NaN,15.34,15.34,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-15/6:26:55 PM,Flush,1013,0,29.46,15.34,9.88,29.6,15.34,9.78,29.21,15.34,9.89,29.13,15.34,9.8,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,NaN,NaN,NaN,15.34,15.34,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-15/6:26:56 PM,Flush,1013,0,29.47,15.33,9.88,29.59,15.33,9.8,29.23,15.33,9.88,29.14,15.33,9.79,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,NaN,NaN,NaN,15.33,15.33,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-15/6:26:57 PM,Flush,1013,0,29.48,15.34,9.87,29.6,15.34,9.78,29.26,15.34,9.85,29.12,15.34,9.8,NaN,15.33,NaN,NaN,15.33,NaN,NaN,15.33,NaN,NaN,15.33,NaN,NaN,NaN,NaN,NaN,15.34,15.34,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-15/6:26:58 PM,Flush,1013,0,29.46,15.34,9.88,29.59,15.34,9.79,29.24,15.34,9.87,29.14,15.34,9.79,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,NaN,NaN,NaN,15.34,15.34,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-15/6:26:59 PM,Flush,1013,0,29.47,15.34,9.87,29.61,15.34,9.77,29.22,15.34,9.88,29.15,15.34,9.78,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,NaN,NaN,NaN,15.34,15.34,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-15/6:27:00 PM,M1   ,1013,0,29.47,15.34,9.87,29.6,15.34,9.78,29.23,15.34,9.87,29.13,15.34,9.8,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,NaN,NaN,NaN,15.34,15.34,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-15/6:27:01 PM,M1   ,1013,0,29.48,15.34,9.87,29.59,15.34,9.79,29.25,15.34,9.86,29.14,15.34,9.79,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,NaN,NaN,NaN,15.34,15.34,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2025-06-15/6:27:02 PM,M1   ,1013,0,29.45,15.34,9.89,29.6,15.34,9.78,29.24,15.34,9.87,29.15,15.34,9.78,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,15.34,NaN,NaN,NaN,NaN,NaN,15.34,15.34,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
