BsM_Cycle,FMZ,Waterbody_LID,Lake Name,GearType,Netting_Start_Date,Species,Species Code,ForkLength,TotalLength,RoundWeight,Sex,Sex Code,Aging_Structure,Age
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,164,171,60,Unknown,9,Otolith,1
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,153,161,50,Unknown,9,Otolith,1
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,147,155,50,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,154,160,50,Unknown,9,Otolith,1
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,157,164,50,Unknown,9,Otolith,1
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,152,158,50,Unknown,9,Otolith,1
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,154,161,50,Unknown,9,Otolith,1
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,151,157,50,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,170,177,75,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,255,263,200,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,254,262,200,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,225,233,150,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,255,266,250,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,303,314,350,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,300,312,400,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,321,330,500,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,345,356,650,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,410,421,875,Unknown,9,Otolith,4
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,335,348,475,Unknown,9,Otolith,4
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,310,318,425,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,251,260,200,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,284,296,300,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,161,173,60,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,165,171,50,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,156,163,50,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,172,180,70,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,167,175,60,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,170,179,60,Unknown,9,Otolith,1
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,160,168,60,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,188,196,90,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,174,181,60,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,260,271,225,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,321,331,500,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,326,337,475,Unknown,9,Otolith,4
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,261,268,250,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,284,293,325,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,282,293,300,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,296,307,350,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,270,281,275,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,168,175,50,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,160,168,50,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,164,170,75,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,170,178,75,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,184,190,100,Unknown,9,Otolith,1
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,202,210,125,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,253,262,200,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,274,284,250,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,266,275,250,Unknown,9,Otolith,2
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,234,240,175,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,250,260,200,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,244,252,225,Unknown,9,Otolith,3
1,6,15-5145-54588,Beck L.,1,06-27-11,Brook Trout,80,360,370,600,Unknown,9,Otolith,4
1,6,15-7025-53379,Arrow L.,1,06-19-08,Brook Trout,80,450,470,1150,Female,2,Otolith,4
1,6,15-7025-53379,Arrow L.,1,06-19-08,Brook Trout,80,410,429,935,Female,2,Otolith,4
1,6,15-7025-53379,Arrow L.,1,06-19-08,Brook Trout,80,468,488,1250,Male,1,Otolith,5
1,6,16-2901-53647,Marks L.,1,07-22-08,Brook Trout,80,408,425,703,Female,2,Otolith,4
