ID;famille;line;bassin;traitement;date_initiale;masse_init_kg;long_init_mm;date_finale;heure_fin;masse_fin_kg;long_fin_mm;masse_muscle_g;masse_gonade_g;masse_foie_g;sexe
152453405A;S6-2019;S;4;ES;2022-06-09;0.094;215;2022-08-08;10:30;0.188;254;16;4;3.4;M
152458235A;S6-2019;S;4;ES;2022-06-09;0.07;188;2022-08-08;10:30;0.138;229;13;1.9;3.2;F
152459305A;S6-2019;S;4;ES;2022-06-09;0.194;268;2022-08-08;10:30;0.332;306;25.9;0.3;5.4;M
152459634A;S6-2019;S;4;ES;2022-06-09;0.132;236;2022-08-08;10:30;0.242;273;20.1;2.9;4.2;F
152462177A;S6-2019;S;4;ES;2022-06-09;0.11;230;2022-08-08;10:30;0.21;273;17.9;2.8;4.3;F
152455104A;S11-2019;S;4;ES;2022-06-09;0.2;267;2022-08-08;10:30;0.316;296;27.8;3.6;7;F
152456783A;S11-2019;S;4;ES;2022-06-09;0.224;273;2022-08-08;10:30;0.386;309;35.9;3.2;6.3;M
152460164A;S11-2019;S;4;ES;2022-06-09;0.112;222;2022-08-08;10:30;0.222;266;21.5;1.8;6.7;F
152461684A;S11-2019;S;4;ES;2022-06-09;0.218;284;2022-08-08;10:30;0.384;319;38.2;2.5;7.7;F
152463290A;S11-2019;S;4;ES;2022-06-09;0.168;256;2022-08-08;10:30;0.286;297;21.8;3.4;5.8;F
152455552A;S4-2019;S;4;ES;2022-06-09;0.07;192;2022-08-08;10:30;0.136;229;12.9;0.9;2.3;F
152460013A;S4-2019;S;4;ES;2022-06-09;0.134;231;2022-08-08;10:30;0.206;257;17.7;1.5;3.5;F
152461094A;S4-2019;S;4;ES;2022-06-09;0.104;222;2022-08-08;10:30;0.186;253;19.1;1.4;3.9;F
152463051A;S4-2019;S;4;ES;2022-06-09;0.2;261;2022-08-08;10:30;0.33;298;26.9;4.3;5.8;M
152464651A;S4-2019;S;4;ES;2022-06-09;0.144;238;2022-08-08;10:30;0.244;266;23.9;1.9;3.6;F
152462390A;S6-2019;S;8;ED;2022-06-09;0.18;258;2022-08-08;14:30;0.322;304;29.9;4.6;5.4;M
152458464A;S6-2019;S;8;ED;2022-06-09;0.138;240;2022-08-08;14:30;0.268;291;26.7;3.8;4.2;M
152459186A;S6-2019;S;8;ED;2022-06-09;0.106;226;2022-08-08;14:30;0.208;270;18.7;2;4.1;F
152463263A;S6-2019;S;8;ED;2022-06-09;0.124;228;2022-08-08;14:30;0.244;272;18.8;3.3;4.2;F
152464422A;S6-2019;S;8;ED;2022-06-09;0.074;198;2022-08-08;14:30;0.124;229;11.4;1.1;1.7;M
152464466A;S11-2019;S;8;ED;2022-06-09;0.204;270;2022-08-08;14:30;0.344;312;30.5;2.4;7;F
152453294A;S11-2019;S;8;ED;2022-06-09;0.104;221;2022-08-08;14:30;0.21;263;20.3;0.1;3.3;M
152455521A;S11-2019;S;8;ED;2022-06-09;0.268;300;2022-08-08;14:30;0.428;332;34.2;2.7;7;M
152456312A;S11-2019;S;8;ED;2022-06-09;0.196;268;2022-08-08;14:30;0.342;307;40.6;2.5;8.1;F
152462186A;S11-2019;S;8;ED;2022-06-09;0.126;235;2022-08-08;14:30;0.222;273;17.8;1.4;4.7;F
152456055A;S4-2019;S;8;ED;2022-06-09;0.126;231;2022-08-08;14:30;0.238;277;19.1;2.1;4.7;F
152457790A;S4-2019;S;8;ED;2022-06-09;0.06;177;2022-08-08;14:30;0.14;221;11.5;1;2.5;F
152461143A;S4-2019;S;8;ED;2022-06-09;0.064;181;2022-08-08;14:30;0.112;213;9.8;0.1;2;M
152462417A;S4-2019;S;8;ED;2022-06-09;0.07;190;2022-08-08;14:30;0.152;231;13.6;0.1;1.9;M
152464700A;S4-2019;S;8;ED;2022-06-09;0.134;230;2022-08-08;14:30;0.236;257;22.8;0.2;1.6;M
152454584A;S6-2019;S;12;ED;2022-06-09;0.148;246;2022-08-09;08:00;0.292;300;24.4;4.5;6.3;F
152456037A;S6-2019;S;12;ED;2022-06-09;0.05;178;2022-08-09;08:00;0.078;202;7.9;0.6;0.9;F
152458241A;S6-2019;S;12;ED;2022-06-09;0.138;247;2022-08-09;08:00;0.24;288;22.1;3.5;4.1;F
152459027A;S6-2019;S;12;ED;2022-06-09;0.076;198;2022-08-09;08:00;0.172;251;14.4;1.6;1.9;M
152464502A;S6-2019;S;12;ED;2022-06-09;0.194;261;2022-08-09;08:00;0.322;293;36.8;2.4;3.6;M
152460474A;S11-2019;S;12;ED;2022-06-09;0.228;279;2022-08-09;08:00;0.412;320;40.3;1.3;6.7;M
152463406A;S11-2019;S;12;ED;2022-06-09;0.176;263;2022-08-09;08:00;0.376;310;35.1;0.2;7.5;M
152464315A;S11-2019;S;12;ED;2022-06-09;0.252;290;2022-08-09;08:00;0.446;331;41.4;5.1;8.2;F
152464370A;S11-2019;S;12;ED;2022-06-09;0.3;292;2022-08-09;08:00;0.48;325;47.6;6.1;10.2;F
152465285A;S11-2019;S;12;ED;2022-06-09;0.284;292;2022-08-09;08:00;0.548;345;50.9;5.2;11.1;F
152455013A;S4-2019;S;12;ED;2022-06-09;0.09;215;2022-08-09;08:00;0.2;257;18;0.4;3.6;M
152457682A;S4-2019;S;12;ED;2022-06-09;0.074;197;2022-08-09;08:00;0.162;243;14.2;1.1;3.4;F
152458246A;S4-2019;S;12;ED;2022-06-09;0.136;235;2022-08-09;08:00;0.198;249;19.8;1.1;2.8;M
152458344A;S4-2019;S;12;ED;2022-06-09;0.096;211;2022-08-09;08:00;0.198;256;17;1.2;2.8;M
152453126A;S6-2019;S;13;ES;2022-06-09;0.126;232;2022-08-09;09:10;0.168;251;14.8;1.5;3.1;F
152456070A;S6-2019;S;13;ES;2022-06-09;0.112;223;2022-08-09;09:10;0.202;262;20;1.5;4.4;F
152457611A;S6-2019;S;13;ES;2022-06-09;0.082;208;2022-08-09;09:10;0.16;240;11.8;2.4;2.6;M
152459157A;S6-2019;S;13;ES;2022-06-09;0.102;220;2022-08-09;09:10;0.144;254;14.3;1.3;1.7;F
152460232A;S6-2019;S;13;ES;2022-06-09;0.15;246;2022-08-09;09:10;0.266;278;25.1;3.6;4.4;M
152455721A;S11-2019;S;13;ES;2022-06-09;0.168;258;2022-08-09;09:10;0.324;295;29.9;1.9;5.9;F
152456153A;S11-2019;S;13;ES;2022-06-09;0.2;271;2022-08-09;09:10;0.342;305;31.2;2;5.9;F
152457020A;S11-2019;S;13;ES;2022-06-09;0.204;272;2022-08-09;09:10;0.366;309;35.2;1.7;5.2;M
152461190A;S11-2019;S;13;ES;2022-06-09;0.222;274;2022-08-09;09:10;0.342;302;28.8;0.2;5.8;M
152463384A;S11-2019;S;13;ES;2022-06-09;0.218;272;2022-08-09;09:10;0.386;308;29.8;3.8;8.6;F
152455175A;S4-2019;S;13;ES;2022-06-09;0.1;211;2022-08-09;09:10;0.148;233;14.4;0.9;2.5;F
152456641A;S4-2019;S;13;ES;2022-06-09;0.1;214;2022-08-09;09:10;0.168;241;12.9;0.9;2.9;F
152460764A;S4-2019;S;13;ES;2022-06-09;0.092;212;2022-08-09;09:10;0.174;245;13.3;0.1;2.7;M
152463054A;S4-2019;S;13;ES;2022-06-09;0.1;218;2022-08-09;09:10;0.196;258;19.7;0.1;2.7;M
152459794A;S11-2019;S;14;ED;2022-06-09;0.172;260;2022-08-09;10:20;0.354;309;36.6;2;8.3;F
152455564A;S6-2019;S;14;ED;2022-06-09;0.146;242;2022-08-09;10:20;0.262;285;25.6;4.3;3.9;M
152458331A;S6-2019;S;14;ED;2022-06-09;0.14;247;2022-08-09;10:20;0.272;290;23.5;3.6;4.6;F
152459124A;S6-2019;S;14;ED;2022-06-09;0.152;245;2022-08-09;10:20;0.266;285;29.9;3.2;2.8;M
152463531A;S6-2019;S;14;ED;2022-06-09;0.118;228;2022-08-09;10:20;0.22;173;23.4;0.6;3.1;M
152461150A;S6-2019;S;14;ED;2022-06-09;0.136;242;2022-08-09;10:20;0.268;284;25;4.9;3.7;M
152455064A;S11-2019;S;14;ED;2022-06-09;0.228;286;2022-08-09;10:20;0.41;323;36.4;2;6.4;M
152461382A;S11-2019;S;14;ED;2022-06-09;0.238;276;2022-08-09;10:20;0.414;314;38.4;1.4;6.1;M
152461555A;S11-2019;S;14;ED;2022-06-09;0.192;272;2022-08-09;10:20;0.346;316;35.1;2;7.1;F
152462694A;S11-2019;S;14;ED;2022-06-09;0.222;274;2022-08-09;10:20;0.402;316;36.3;1.9;5.8;M
152456635A;S4-2019;S;14;ED;2022-06-09;0.134;233;2022-08-09;10:20;0.238;274;21.6;2.4;3.8;F
152456760A;S4-2019;S;14;ED;2022-06-09;0.132;232;2022-08-09;10:20;0.208;259;21.5;1.5;3.4;M
152459735A;S4-2019;S;14;ED;2022-06-09;0.13;235;2022-08-09;10:20;0.228;266;22.3;0.1;3.5;M
152453540A;S6-2019;S;17;ES;2022-06-09;0.132;236;2022-08-09;14:30;0.264;276;31.1;2.5;4.4;F
152453697A;S6-2019;S;17;ES;2022-06-09;0.134;242;2022-08-09;14:30;0.246;284;26.9;2;3.9;F
152459005A;S6-2019;S;17;ES;2022-06-09;0.106;221;2022-08-09;14:30;0.212;261;20.7;1.7;3.6;M
152461623A;S6-2019;S;17;ES;2022-06-09;0.162;249;2022-08-09;14:30;0.292;286;28.3;3.5;3.4;M
152465364A;S6-2019;S;16;ES;2022-06-09;0.092;214;2022-08-09;13:30;0.16;247;12.7;1.3;2.5;F
152453194A;S11-2019;S;17;ES;2022-06-09;0.198;268;2022-08-09;14:30;0.336;305;32.6;2.6;7;F
152453741A;S11-2019;S;17;ES;2022-06-09;0.268;285;2022-08-09;14:30;0.474;324;52.1;5.2;10.6;F
152455370A;S11-2019;S;17;ES;2022-06-09;0.24;277;2022-08-09;14:30;0.406;313;34.6;2.4;5.1;M
152457302A;S11-2019;S;17;ES;2022-06-09;0.216;271;2022-08-09;14:30;0.394;314;42.1;1.2;7.7;M
152459175A;S11-2019;S;17;ES;2022-06-09;0.212;277;2022-08-09;14:30;0.38;322;35.6;0.4;6.5;M
152455120A;S4-2019;S;17;ES;2022-06-09;0.138;240;2022-08-09;14:30;0.252;277;27.8;0.1;3.9;M
152456637A;S4-2019;S;17;ES;2022-06-09;0.054;181;2022-08-09;14:30;0.138;223;13.8;0.4;2.8;F
152457240A;S4-2019;S;17;ES;2022-06-09;0.1;210;2022-08-09;14:30;0.2;247;18.1;0.8;2.9;M
152464047A;S4-2019;S;17;ES;2022-06-09;0.144;240;2022-08-09;14:30;0.26;277;21.8;2.3;3.8;M
135812313A;C14-2019;C;3;ED;2022-06-09;0.074;191;2022-08-08;08:30;0.17;239;11.6;2.9;4.1;F
152245661A;C14-2019;C;3;ED;2022-06-09;0.122;224;2022-08-08;08:30;0.244;271;18.2;4.6;4.1;M
152251026A;C14-2019;C;3;ED;2022-06-09;0.066;181;2022-08-08;08:30;0.144;215;14.7;2.2;3;M
152461366A;C14-2019;C;3;ED;2022-06-09;0.072;188;2022-08-08;08:30;0.174;240;17.4;2.3;4.5;F
4D00020716;C14-2019;C;3;ED;2022-06-09;0.068;190;2022-08-08;08:30;0.164;238;13.7;2.4;3.8;F
135546540A;C10-2019;C;3;ED;2022-06-09;0.172;257;2022-08-08;08:30;0.304;293;31.6;1.8;7.2;F
135847510A;C10-2019;C;3;ED;2022-06-09;0.232;275;2022-08-08;08:30;0.402;314;28.1;2.3;9.2;F
152246093A;C10-2019;C;3;ED;2022-06-09;0.162;243;2022-08-08;08:30;0.268;276;22.4;1.2;4.8;M
152441284A;C10-2019;C;3;ED;2022-06-09;0.19;262;2022-08-08;08:30;0.336;297;37.6;1.9;5.8;M
152462454A;C10-2019;C;3;ED;2022-06-09;0.198;264;2022-08-08;08:30;0.372;309;31.8;1.9;9.2;M
135576695A;C15-2019;C;3;ED;2022-06-09;0.116;216;2022-08-08;08:30;0.216;257;25.9;5.7;3.6;M
135645532A;C15-2019;C;3;ED;2022-06-09;0.082;192;2022-08-08;08:30;0.156;226;13.8;0.8;3.1;F
152407604A;C15-2019;C;3;ED;2022-06-09;0.078;196;2022-08-08;08:30;0.158;232;12.3;1;3.6;F
152456750A;C15-2019;C;3;ED;2022-06-09;0.122;224;2022-08-08;08:30;0.244;270;23;2.3;5.5;M
152457764A;C15-2019;C;3;ED;2022-06-09;0.104;209;2022-08-08;08:30;0.172;238;19;1.1;3.5;F
134912150A;C14-2019;C;7;ES;2022-06-09;0.248;275;2022-08-08;13:30;0.406;312;37.8;3.9;6.8;M
135963525A;C14-2019;C;7;ES;2022-06-09;0.112;213;2022-08-08;13:30;0.216;255;23.4;2.1;4.1;M
152420482A;C14-2019;C;7;ES;2022-06-09;0.118;218;2022-08-08;13:30;0.238;258;19.4;4.1;4;M
152460647A;C14-2019;C;7;ES;2022-06-09;0.134;223;2022-08-08;13:30;0.206;251;18.4;3.5;4.3;M
4D00027978;C14-2019;C;7;ES;2022-06-09;0.08;195;2022-08-08;13:30;0.158;230;15.9;4.8;2.6;M
152242494A;C10-2019;C;7;ES;2022-06-09;0.13;268;2022-08-08;13:30;0.36;300;37.4;1.7;7;M
152414602A;C10-2019;C;7;ES;2022-06-09;0.128;234;2022-08-08;13:30;0.26;276;22.9;1.3;7.2;F
152456407A;C10-2019;C;7;ES;2022-06-09;0.224;268;2022-08-08;13:30;0.388;301;32.3;0.9;8.4;M
152459455A;C10-2019;C;7;ES;2022-06-09;0.128;224;2022-08-08;13:30;0.242;264;19.8;1.3;4.5;F
152461592A;C10-2019;C;7;ES;2022-06-09;0.152;241;2022-08-08;13:30;0.252;275;27;0.9;5.3;M
121717457A;C15-2019;C;7;ES;2022-06-09;0.096;200;2022-08-08;13:30;0.186;238;20.7;3.3;3.4;M
152252413A;C15-2019;C;7;ES;2022-06-09;0.042;156;2022-08-08;13:30;0.082;190;8.6;1.5;1.9;F
152458196A;C15-2019;C;7;ES;2022-06-09;0.068;176;2022-08-08;13:30;0.152;221;16.9;3;2.8;M
152458626A;C15-2019;C;7;ES;2022-06-09;0.1;206;2022-08-08;13:30;0.178;244;17.9;3.3;4.1;F
152464197A;C15-2019;C;7;ES;2022-06-09;0.068;177;2022-08-08;13:30;0.118;209;12.5;0.7;2.5;F
135576710A;C14-2019;C;10;ED;2022-06-09;0.142;233;2022-08-08;15:30;0.268;278;26.3;4.4;4.4;M
135775296A;C14-2019;C;10;ED;2022-06-09;0.114;217;2022-08-08;15:30;0.216;259;21.4;2.9;3.7;M
