lake,fish_name,date_est,year,month,day,flen,sex,mean_temp,median_temp,sd_temp
Scott Lake,SC024,2009-06-02T00:00:00Z,2009,6,2,420,9,14.37332329,14.33297752,0.099018898
Scott Lake,SC024,2009-06-03T00:00:00Z,2009,6,3,420,9,14.57354364,14.58547281,0.378039706
Scott Lake,SC024,2009-06-04T00:00:00Z,2009,6,4,420,9,14.87207161,14.87660544,0.326289981
Scott Lake,SC024,2009-06-05T00:00:00Z,2009,6,5,420,9,15.27595642,15.15084379,0.292740006
Scott Lake,SC024,2009-06-06T00:00:00Z,2009,6,6,420,9,15.77044292,15.8264216,0.405689449
Scott Lake,SC024,2009-06-07T00:00:00Z,2009,6,7,420,9,15.78649299,15.96308616,0.484596661
Scott Lake,SC024,2009-06-08T00:00:00Z,2009,6,8,420,9,15.03984535,15.4830313,0.935084617
Scott Lake,SC024,2009-06-09T00:00:00Z,2009,6,9,420,9,14.75022665,15.40749283,1.42217195
Scott Lake,SC024,2009-06-10T00:00:00Z,2009,6,10,420,9,15.13191548,15.13766948,0.459245453
Scott Lake,SC024,2009-06-11T00:00:00Z,2009,6,11,420,9,15.69017209,15.5772799,0.36687136
Scott Lake,SC024,2009-06-12T00:00:00Z,2009,6,12,420,9,15.97745762,15.91131233,0.512666722
Scott Lake,SC024,2009-06-13T00:00:00Z,2009,6,13,420,9,16.00799927,15.9870421,0.987109834
Scott Lake,SC024,2009-06-14T00:00:00Z,2009,6,14,420,9,16.14898688,16.3294288,0.95159415
Scott Lake,SC024,2009-06-15T00:00:00Z,2009,6,15,420,9,13.75052435,14.54740005,1.988106834
Scott Lake,SC024,2009-06-16T00:00:00Z,2009,6,16,420,9,14.06606968,14.70670509,1.521237163
Scott Lake,SC024,2009-06-17T00:00:00Z,2009,6,17,420,9,14.9412698,16.38608635,2.120604353
Scott Lake,SC024,2009-06-18T00:00:00Z,2009,6,18,420,9,15.25566707,16.99887123,2.733133346
Scott Lake,SC024,2009-06-19T00:00:00Z,2009,6,19,420,9,14.76901379,16.45672615,2.9458992
Scott Lake,SC024,2009-06-20T00:00:00Z,2009,6,20,420,9,14.3717223,16.12315391,3.289606113
Scott Lake,SC024,2009-06-21T00:00:00Z,2009,6,21,420,9,14.69845057,15.83212201,2.373117372
Scott Lake,SC024,2009-06-22T00:00:00Z,2009,6,22,420,9,14.22233861,14.9120464,1.944508327
Scott Lake,SC024,2009-06-23T00:00:00Z,2009,6,23,420,9,14.97844848,16.7764475,2.811543843
Scott Lake,SC024,2009-06-24T00:00:00Z,2009,6,24,420,9,16.43884759,17.55029005,2.573973412
Scott Lake,SC024,2009-06-25T00:00:00Z,2009,6,25,420,9,16.85667578,17.21846481,1.133294429
Scott Lake,SC024,2009-06-26T00:00:00Z,2009,6,26,420,9,15.7741294,16.29818153,1.586825121
Scott Lake,SC024,2009-06-27T00:00:00Z,2009,6,27,420,9,15.68863065,16.45084643,1.485925528
Scott Lake,SC024,2009-06-28T00:00:00Z,2009,6,28,420,9,15.63704908,16.55186209,2.001067483
Scott Lake,SC024,2009-06-29T00:00:00Z,2009,6,29,420,9,16.25770908,17.971548,2.803370852
Scott Lake,SC024,2009-06-30T00:00:00Z,2009,6,30,420,9,16.44518567,17.68317413,2.830563137
Scott Lake,SC024,2009-07-01T00:00:00Z,2009,7,1,420,9,16.35641848,17.37798709,2.49937288
Scott Lake,SC024,2009-07-02T00:00:00Z,2009,7,2,420,9,13.55350781,15.53065851,3.638203573
Scott Lake,SC024,2009-07-03T00:00:00Z,2009,7,3,420,9,9.822852421,9.913742537,0.633630738
Scott Lake,SC024,2009-07-04T00:00:00Z,2009,7,4,420,9,11.04550728,9.984427474,2.777026873
Scott Lake,SC024,2009-07-05T00:00:00Z,2009,7,5,420,9,9.749512755,9.527228177,0.641365792
Scott Lake,SC024,2009-07-06T00:00:00Z,2009,7,6,420,9,11.19771322,10.65072936,2.34497597
Scott Lake,SC024,2009-07-07T00:00:00Z,2009,7,7,420,9,13.24696855,11.00592796,3.645539424
Scott Lake,SC024,2009-07-08T00:00:00Z,2009,7,8,420,9,15.25358934,16.92907002,3.186899377
Scott Lake,SC024,2009-07-09T00:00:00Z,2009,7,9,420,9,10.03309059,9.715655255,1.760187439
Scott Lake,SC024,2009-07-10T00:00:00Z,2009,7,10,420,9,13.19321026,12.90021918,3.097762822
Scott Lake,SC024,2009-07-11T00:00:00Z,2009,7,11,420,9,10.77130046,9.861355447,1.472643158
Scott Lake,SC024,2009-07-12T00:00:00Z,2009,7,12,420,9,10.68264232,10.4129208,1.161789918
Scott Lake,SC024,2009-07-13T00:00:00Z,2009,7,13,420,9,10.68978517,10.55128786,0.841313423
Scott Lake,SC024,2009-07-14T00:00:00Z,2009,7,14,420,9,10.13625233,9.991751362,0.998707001
Scott Lake,SC024,2009-07-15T00:00:00Z,2009,7,15,420,9,10.23211589,10.0664812,1.02144694
Scott Lake,SC024,2009-07-16T00:00:00Z,2009,7,16,420,9,10.03370767,10.13426829,0.570390083
Scott Lake,SC024,2009-07-17T00:00:00Z,2009,7,17,420,9,10.24671914,10.17923204,1.050791772
Scott Lake,SC024,2009-07-18T00:00:00Z,2009,7,18,420,9,12.68172504,11.5068156,3.360254496
Scott Lake,SC024,2009-07-19T00:00:00Z,2009,7,19,420,9,14.22642894,15.81809668,3.021127483
Scott Lake,SC024,2009-07-20T00:00:00Z,2009,7,20,420,9,15.85760334,16.49602339,2.115348809
Scott Lake,SC024,2009-07-21T00:00:00Z,2009,7,21,420,9,10.18559803,9.949160781,0.823404852
Scott Lake,SC024,2009-07-22T00:00:00Z,2009,7,22,420,9,13.65032108,15.28575261,2.695736567
Scott Lake,SC024,2009-07-23T00:00:00Z,2009,7,23,420,9,12.31846752,10.53445393,3.143688497
Scott Lake,SC024,2009-07-24T00:00:00Z,2009,7,24,420,9,11.74977101,10.63100891,2.616651662
Scott Lake,SC024,2009-07-25T00:00:00Z,2009,7,25,420,9,10.41771548,10.63100891,0.708669954
Scott Lake,SC024,2009-07-26T00:00:00Z,2009,7,26,420,9,10.27513904,10.15632409,0.920221199
Scott Lake,SC024,2009-07-27T00:00:00Z,2009,7,27,420,9,12.25215296,10.72898631,3.002663483
Scott Lake,SC024,2009-07-28T00:00:00Z,2009,7,28,420,9,13.07213644,11.46105743,3.370477108
Scott Lake,SC024,2009-07-29T00:00:00Z,2009,7,29,420,9,14.02993606,12.21218576,2.761897482
